 #  Z     N         Q_20        Q_30       BE_LN
    92   158        0.00        0.00    -1782.1070
    92   158        0.00        3.00    -1784.7800
    92   158        0.00        6.00    -1786.9930
    92   158        0.00        9.00    -1783.2680
    92   158        0.00       12.00    -1774.3130
    92   158        0.00       15.00    -1763.8650
    92   158        0.00       18.00    -1752.4860
    92   158        0.00       21.00    -1741.9310
    92   158        0.00       24.00    -1731.3890
    92   158        0.00       27.00    -1719.6300
    92   158        0.00       30.00    -1707.2330
    92   158        0.00       33.00    -1693.9750
    92   158        0.00       36.00    -1694.5120
    92   158        0.00       39.00    -1685.8330
    92   158        0.00       42.00    -1677.8080
    92   158        0.00       45.00    -1667.7420
    92   158        0.00       48.00    -1654.7260
    92   158        0.00       51.00    -1639.4330
    92   158        0.00       54.00    -1634.6520
    92   158        0.00       57.00    -1630.9060
    92   158        0.00       60.00    -1624.2840
    92   158        8.00        0.00    -1785.2940
    92   158        8.00        3.00    -1786.9740
    92   158        8.00        6.00    -1786.7320
    92   158        8.00        9.00    -1785.0570
    92   158        8.00       12.00    -1777.3790
    92   158        8.00       15.00    -1767.7720
    92   158        8.00       18.00    -1757.6430
    92   158        8.00       21.00    -1747.9690
    92   158        8.00       24.00    -1738.5480
    92   158        8.00       27.00    -1728.1750
    92   158        8.00       30.00    -1716.2970
    92   158        8.00       33.00    -1703.2340
    92   158        8.00       36.00    -1699.3090
    92   158        8.00       39.00    -1692.1620
    92   158        8.00       42.00    -1685.2000
    92   158        8.00       45.00    -1676.7800
    92   158        8.00       48.00    -1665.4640
    92   158        8.00       51.00    -1650.6680
    92   158        8.00       54.00    -1634.6520
    92   158        8.00       57.00    -1630.9060
    92   158        8.00       60.00    -1633.8627
    92   158       16.00        0.00    -1793.9470
    92   158       16.00        3.00    -1793.9940
    92   158       16.00        6.00    -1791.5160
    92   158       16.00        9.00    -1786.7620
    92   158       16.00       12.00    -1779.2670
    92   158       16.00       15.00    -1769.2720
    92   158       16.00       18.00    -1761.1320
    92   158       16.00       21.00    -1754.0750
    92   158       16.00       24.00    -1745.3250
    92   158       16.00       27.00    -1735.4600
    92   158       16.00       30.00    -1724.3260
    92   158       16.00       33.00    -1711.8630
    92   158       16.00       36.00    -1698.4250
    92   158       16.00       39.00    -1697.7040
    92   158       16.00       42.00    -1691.4370
    92   158       16.00       45.00    -1684.0640
    92   158       16.00       48.00    -1673.7010
    92   158       16.00       51.00    -1660.4910
    92   158       16.00       54.00    -1645.4610
    92   158       16.00       57.00    -1630.9060
    92   158       16.00       60.00    -1636.8616
    92   158       24.00        0.00    -1802.6800
    92   158       24.00        3.00    -1802.0200
    92   158       24.00        6.00    -1798.0030
    92   158       24.00        9.00    -1790.7150
    92   158       24.00       12.00    -1782.1200
    92   158       24.00       15.00    -1773.4060
    92   158       24.00       18.00    -1764.8300
    92   158       24.00       21.00    -1758.8090
    92   158       24.00       24.00    -1751.2310
    92   158       24.00       27.00    -1742.0740
    92   158       24.00       30.00    -1731.5830
    92   158       24.00       33.00    -1719.2950
    92   158       24.00       36.00    -1706.7050
    92   158       24.00       39.00    -1704.9090
    92   158       24.00       42.00    -1697.5790
    92   158       24.00       45.00    -1689.9140
    92   158       24.00       48.00    -1680.3310
    92   158       24.00       51.00    -1668.7780
    92   158       24.00       54.00    -1655.5050
    92   158       24.00       57.00    -1641.5370
    92   158       24.00       60.00    -1637.6300
    92   158       32.00        0.00    -1804.7620
    92   158       32.00        3.00    -1804.7550
    92   158       32.00        6.00    -1802.5380
    92   158       32.00        9.00    -1796.7230
    92   158       32.00       12.00    -1788.7780
    92   158       32.00       15.00    -1779.5520
    92   158       32.00       18.00    -1769.4220
    92   158       32.00       21.00    -1761.6290
    92   158       32.00       24.00    -1755.0700
    92   158       32.00       27.00    -1746.7700
    92   158       32.00       30.00    -1737.2960
    92   158       32.00       33.00    -1726.0780
    92   158       32.00       36.00    -1719.4069
    92   158       32.00       39.00    -1713.5630
    92   158       32.00       42.00    -1703.6810
    92   158       32.00       45.00    -1695.8200
    92   158       32.00       48.00    -1685.9110
    92   158       32.00       51.00    -1676.3190
    92   158       32.00       54.00    -1664.7250
    92   158       32.00       57.00    -1653.3030
    92   158       32.00       60.00    -1641.4230
    92   158       40.00        0.00    -1799.8330
    92   158       40.00        3.00    -1800.3740
    92   158       40.00        6.00    -1800.9940
    92   158       40.00        9.00    -1799.6200
    92   158       40.00       12.00    -1795.0910
    92   158       40.00       15.00    -1787.0550
    92   158       40.00       18.00    -1776.1130
    92   158       40.00       21.00    -1765.5010
    92   158       40.00       24.00    -1757.5900
    92   158       40.00       27.00    -1750.0440
    92   158       40.00       30.00    -1741.3540
    92   158       40.00       33.00    -1732.3170
    92   158       40.00       36.00    -1727.4790
    92   158       40.00       39.00    -1720.8230
    92   158       40.00       42.00    -1712.0520
    92   158       40.00       45.00    -1700.4510
    92   158       40.00       48.00    -1691.7290
    92   158       40.00       51.00    -1684.6590
    92   158       40.00       54.00    -1674.5290
    92   158       40.00       57.00    -1460.1640
    92   158       40.00       60.00    -1652.1370
