 #  Z     N         Q_20        Q_30       BE_LN
    92   158        0.00        0.00    -1851.9200
    92   158        0.00        3.00    -1848.0210
    92   158        0.00        6.00    -1846.4270
    92   158        0.00        9.00    -1843.8630
    92   158        0.00       12.00    -1837.9600
    92   158        0.00       15.00    -1829.0810
    92   158        0.00       18.00    -1818.9080
    92   158        0.00       21.00    -1808.8920
    92   158        0.00       24.00    -1798.4720
    92   158        0.00       27.00    -1788.5050
    92   158        0.00       30.00    -1778.3240
    92   158        0.00       33.00    -1767.5290
    92   158        0.00       36.00    -1756.5830
    92   158        0.00       39.00    -1744.1350
    92   158        0.00       42.00    -1739.3990
    92   158        0.00       45.00    -1757.4530
    92   158        0.00       48.00    -1759.9590
    92   158        0.00       51.00    -1726.7300
    92   158        0.00       54.00    -1714.8340
    92   158        0.00       57.00    -1702.0350
    92   158        0.00       60.00    -1686.5960
    92   158        8.00        0.00    -1852.7960
    92   158        8.00        3.00    -1849.8200
    92   158        8.00        6.00    -1846.6450
    92   158        8.00        9.00    -1844.0070
    92   158        8.00       12.00    -1838.6320
    92   158        8.00       15.00    -1831.7770
    92   158        8.00       18.00    -1823.0050
    92   158        8.00       21.00    -1814.4910
    92   158        8.00       24.00    -1805.0570
    92   158        8.00       27.00    -1795.2460
    92   158        8.00       30.00    -1785.8370
    92   158        8.00       33.00    -1775.1850
    92   158        8.00       36.00    -1763.2680
    92   158        8.00       39.00    -1751.6040
    92   158        8.00       42.00    -1739.3990
    92   158        8.00       45.00    -1757.4530
    92   158        8.00       48.00    -1759.9590
    92   158        8.00       51.00    -1726.7300
    92   158        8.00       54.00    -1714.8340
    92   158        8.00       57.00    -1702.0350
    92   158        8.00       60.00    -1690.9441
    92   158       16.00        0.00    -1857.8430
    92   158       16.00        3.00    -1856.2150
    92   158       16.00        6.00    -1850.1730
    92   158       16.00        9.00    -1845.0390
    92   158       16.00       12.00    -1840.3580
    92   158       16.00       15.00    -1834.2720
    92   158       16.00       18.00    -1827.0580
    92   158       16.00       21.00    -1818.8400
    92   158       16.00       24.00    -1810.7830
    92   158       16.00       27.00    -1801.4250
    92   158       16.00       30.00    -1791.9040
    92   158       16.00       33.00    -1782.2210
    92   158       16.00       36.00    -1770.6450
    92   158       16.00       39.00    -1757.8790
    92   158       16.00       42.00    -1746.9840
    92   158       16.00       45.00    -1757.4530
    92   158       16.00       48.00    -1759.9590
    92   158       16.00       51.00    -1736.4430
    92   158       16.00       54.00    -1725.6150
    92   158       16.00       57.00    -1712.8360
    92   158       16.00       60.00    -1697.9960
    92   158       24.00        0.00    -1862.6450
    92   158       24.00        3.00    -1861.7600
    92   158       24.00        6.00    -1856.5530
    92   158       24.00        9.00    -1849.4240
    92   158       24.00       12.00    -1843.0200
    92   158       24.00       15.00    -1836.9940
    92   158       24.00       18.00    -1830.1430
    92   158       24.00       21.00    -1822.5080
    92   158       24.00       24.00    -1815.3480
    92   158       24.00       27.00    -1807.3230
    92   158       24.00       30.00    -1797.4860
    92   158       24.00       33.00    -1787.7340
    92   158       24.00       36.00    -1777.4440
    92   158       24.00       39.00    -1765.3480
    92   158       24.00       42.00    -1753.9330
    92   158       24.00       45.00    -1757.4530
    92   158       24.00       48.00    -1759.9590
    92   158       24.00       51.00    -1744.0052
    92   158       24.00       54.00    -1734.7620
    92   158       24.00       57.00    -1722.5420
    92   158       24.00       60.00    -1707.4610
    92   158       32.00        0.00    -1861.8100
    92   158       32.00        3.00    -1861.5960
    92   158       32.00        6.00    -1859.5840
    92   158       32.00        9.00    -1854.2270
    92   158       32.00       12.00    -1846.9300
    92   158       32.00       15.00    -1839.7360
    92   158       32.00       18.00    -1833.5300
    92   158       32.00       21.00    -1827.2230
    92   158       32.00       24.00    -1819.4440
    92   158       32.00       27.00    -1812.1090
    92   158       32.00       30.00    -1803.2600
    92   158       32.00       33.00    -1792.5590
    92   158       32.00       36.00    -1783.5310
    92   158       32.00       39.00    -1773.5890
    92   158       32.00       42.00    -1761.5070
    92   158       32.00       45.00    -1757.4530
    92   158       32.00       48.00    -1759.9590
    92   158       32.00       51.00    -1750.0390
    92   158       32.00       54.00    -1742.4706
    92   158       32.00       57.00    -1731.4265
    92   158       32.00       60.00    -1718.6640
    92   158       40.00        0.00    -1859.9430
    92   158       40.00        3.00    -1860.2880
    92   158       40.00        6.00    -1859.4420
    92   158       40.00        9.00    -1856.3330
    92   158       40.00       12.00    -1850.9880
    92   158       40.00       15.00    -1843.4560
    92   158       40.00       18.00    -1836.9170
    92   158       40.00       21.00    -1830.9070
    92   158       40.00       24.00    -1824.4960
    92   158       40.00       27.00    -1816.4620
    92   158       40.00       30.00    -1808.1090
    92   158       40.00       33.00    -1798.4700
    92   158       40.00       36.00    -1788.6290
    92   158       40.00       39.00    -1780.3190
    92   158       40.00       42.00    -1769.9070
    92   158       40.00       45.00    -1757.4530
    92   158       40.00       48.00    -1759.9590
    92   158       40.00       51.00    -1755.1400
    92   158       40.00       54.00    -1748.8830
    92   158       40.00       57.00    -1739.6720
    92   158       40.00       60.00    -1727.5710
    92   158       48.00        0.00    -1859.2100
    92   158       48.00        3.00    -1859.6400
    92   158       48.00        6.00    -1859.1850
    92   158       48.00        9.00    -1856.9370
    92   158       48.00       12.00    -1853.4580
    92   158       48.00       15.00    -1847.5530
    92   158       48.00       18.00    -1839.9680
    92   158       48.00       21.00    -1834.7100
    92   158       48.00       24.00    -1828.4830
    92   158       48.00       27.00    -1821.4310
    92   158       48.00       30.00    -1813.2490
    92   158       48.00       33.00    -1804.3880
    92   158       48.00       36.00    -1794.9150
    92   158       48.00       39.00    -1785.3200
    92   158       48.00       42.00    -1776.1410
    92   158       48.00       45.00    -1765.5030
    92   158       48.00       48.00    -1764.7450
    92   158       48.00       51.00    -1760.4110
    92   158       48.00       54.00    -1754.6580
    92   158       48.00       57.00    -1746.9860
    92   158       48.00       60.00    -1736.1940
    92   158       56.00        0.00    -1858.5440
    92   158       56.00        3.00    -1859.0020
    92   158       56.00        6.00    -1858.8250
    92   158       56.00        9.00    -1856.9510
    92   158       56.00       12.00    -1854.1200
    92   158       56.00       15.00    -1850.4340
    92   158       56.00       18.00    -1843.9400
    92   158       56.00       21.00    -1837.8570
    92   158       56.00       24.00    -1832.5140
    92   158       56.00       27.00    -1825.5530
    92   158       56.00       30.00    -1818.0650
    92   158       56.00       33.00    -1810.0930
    92   158       56.00       36.00    -1801.0300
    92   158       56.00       39.00    -1791.2950
    92   158       56.00       42.00    -1781.2510
    92   158       56.00       45.00    -1771.7210
    92   158       56.00       48.00    -1773.8226
    92   158       56.00       51.00    -1768.1066
    92   158       56.00       54.00    -1761.9185
    92   158       56.00       57.00    -1753.6060
    92   158       56.00       60.00    -1744.2450
    92   158       64.00        0.00    -1856.6010
    92   158       64.00        3.00    -1857.0830
    92   158       64.00        6.00    -1857.4930
    92   158       64.00        9.00    -1856.9160
    92   158       64.00       12.00    -1854.8850
    92   158       64.00       15.00    -1851.6230
    92   158       64.00       18.00    -1847.4020
    92   158       64.00       21.00    -1841.3890
    92   158       64.00       24.00    -1835.7640
    92   158       64.00       27.00    -1830.1210
    92   158       64.00       30.00    -1823.1570
    92   158       64.00       33.00    -1815.9520
    92   158       64.00       36.00    -1808.7220
    92   158       64.00       39.00    -1800.2680
    92   158       64.00       42.00    -1791.1650
    92   158       64.00       45.00    -1781.2870
    92   158       64.00       48.00    -1784.3943
    92   158       64.00       51.00    -1777.4814
    92   158       64.00       54.00    -1770.6750
    92   158       64.00       57.00    -1763.9030
    92   158       64.00       60.00    -1759.2100
    92   158       72.00        0.00    -1855.7530
    92   158       72.00        3.00    -1854.2350
    92   158       72.00        6.00    -1855.0890
    92   158       72.00        9.00    -1855.3630
    92   158       72.00       12.00    -1854.6080
    92   158       72.00       15.00    -1852.5740
    92   158       72.00       18.00    -1848.9480
    92   158       72.00       21.00    -1844.4740
    92   158       72.00       24.00    -1838.8670
    92   158       72.00       27.00    -1833.7580
    92   158       72.00       30.00    -1827.8170
    92   158       72.00       33.00    -1820.7120
    92   158       72.00       36.00    -1813.4200
    92   158       72.00       39.00    -1806.1580
    92   158       72.00       42.00    -1797.5440
    92   158       72.00       45.00    -1788.4300
    92   158       72.00       48.00    -1793.4814
    92   158       72.00       51.00    -1786.9133
    92   158       72.00       54.00    -1780.0993
    92   158       72.00       57.00    -1771.1170
    92   158       72.00       60.00    -1765.1480
    92   158       80.00        0.00    -1858.9350
    92   158       80.00        3.00    -1857.1220
    92   158       80.00        6.00    -1852.6570
    92   158       80.00        9.00    -1853.1920
    92   158       80.00       12.00    -1853.2920
    92   158       80.00       15.00    -1851.9490
    92   158       80.00       18.00    -1849.6790
    92   158       80.00       21.00    -1846.1320
    92   158       80.00       24.00    -1841.5190
    92   158       80.00       27.00    -1837.1100
    92   158       80.00       30.00    -1831.7610
    92   158       80.00       33.00    -1825.0000
    92   158       80.00       36.00    -1817.7020
    92   158       80.00       39.00    -1809.8830
    92   158       80.00       42.00    -1802.1060
    92   158       80.00       45.00    -1794.0040
    92   158       80.00       48.00    -1798.1050
    92   158       80.00       51.00    -1794.7800
    92   158       80.00       54.00    -1788.6530
    92   158       80.00       57.00    -1780.5330
    92   158       80.00       60.00    -1770.5530
    92   158       88.00        0.00    -1859.7100
    92   158       88.00        3.00    -1858.1960
    92   158       88.00        6.00    -1854.5720
    92   158       88.00        9.00    -1851.6090
    92   158       88.00       12.00    -1851.4530
    92   158       88.00       15.00    -1850.5670
    92   158       88.00       18.00    -1848.7370
    92   158       88.00       21.00    -1846.6150
    92   158       88.00       24.00    -1843.2830
    92   158       88.00       27.00    -1839.2860
    92   158       88.00       30.00    -1835.4160
    92   158       88.00       33.00    -1829.3030
    92   158       88.00       36.00    -1821.7140
    92   158       88.00       39.00    -1814.0560
    92   158       88.00       42.00    -1806.2550
    92   158       88.00       45.00    -1798.9330
    92   158       88.00       48.00    -1797.1341
    92   158       88.00       51.00    -1799.7581
    92   158       88.00       54.00    -1794.9666
    92   158       88.00       57.00    -1786.5740
    92   158       88.00       60.00    -1777.3355
    92   158       96.00        0.00    -1859.8130
    92   158       96.00        3.00    -1858.6940
    92   158       96.00        6.00    -1856.2090
    92   158       96.00        9.00    -1852.8220
    92   158       96.00       12.00    -1850.1010
    92   158       96.00       15.00    -1849.2960
    92   158       96.00       18.00    -1847.5050
    92   158       96.00       21.00    -1845.6170
    92   158       96.00       24.00    -1843.7410
    92   158       96.00       27.00    -1840.6690
    92   158       96.00       30.00    -1837.3150
    92   158       96.00       33.00    -1832.8120
    92   158       96.00       36.00    -1825.9240
    92   158       96.00       39.00    -1817.8090
    92   158       96.00       42.00    -1810.5370
    92   158       96.00       45.00    -1803.2840
    92   158       96.00       48.00    -1796.8280
    92   158       96.00       51.00    -1801.7190
    92   158       96.00       54.00    -1799.0570
    92   158       96.00       57.00    -1792.2000
    92   158       96.00       60.00    -1783.4640
    92   158      104.00        0.00    -1860.3590
    92   158      104.00        3.00    -1859.4340
    92   158      104.00        6.00    -1857.4600
    92   158      104.00        9.00    -1854.7400
    92   158      104.00       12.00    -1851.0570
    92   158      104.00       15.00    -1847.9770
    92   158      104.00       18.00    -1846.5160
    92   158      104.00       21.00    -1844.5390
    92   158      104.00       24.00    -1843.1080
    92   158      104.00       27.00    -1841.3950
    92   158      104.00       30.00    -1838.6600
    92   158      104.00       33.00    -1834.7630
    92   158      104.00       36.00    -1829.3240
    92   158      104.00       39.00    -1821.8310
    92   158      104.00       42.00    -1814.5230
    92   158      104.00       45.00    -1807.9960
    92   158      104.00       48.00    -1801.9470
    92   158      104.00       51.00    -1801.3261
    92   158      104.00       54.00    -1801.0530
    92   158      104.00       57.00    -1796.8022
    92   158      104.00       60.00    -1788.1720
    92   158      112.00        0.00    -1860.2860
    92   158      112.00        3.00    -1859.7360
    92   158      112.00        6.00    -1858.1960
    92   158      112.00        9.00    -1855.7300
    92   158      112.00       12.00    -1852.6160
    92   158      112.00       15.00    -1848.8350
    92   158      112.00       18.00    -1845.8330
    92   158      112.00       21.00    -1843.6850
    92   158      112.00       24.00    -1841.8860
    92   158      112.00       27.00    -1840.8620
    92   158      112.00       30.00    -1839.1250
    92   158      112.00       33.00    -1836.3390
    92   158      112.00       36.00    -1831.9920
    92   158      112.00       39.00    -1825.8860
    92   158      112.00       42.00    -1818.4690
    92   158      112.00       45.00    -1812.4800
    92   158      112.00       48.00    -1806.4220
    92   158      112.00       51.00    -1801.2156
    92   158      112.00       54.00    -1801.3570
    92   158      112.00       57.00    -1799.5687
    92   158      112.00       60.00    -1793.7190
    92   158      120.00        0.00    -1859.1000
    92   158      120.00        3.00    -1858.7240
    92   158      120.00        6.00    -1857.8610
    92   158      120.00        9.00    -1856.2450
    92   158      120.00       12.00    -1853.7700
    92   158      120.00       15.00    -1850.6460
    92   158      120.00       18.00    -1846.6400
    92   158      120.00       21.00    -1843.2580
    92   158      120.00       24.00    -1840.9030
    92   158      120.00       27.00    -1839.6800
    92   158      120.00       30.00    -1838.8360
    92   158      120.00       33.00    -1836.9370
    92   158      120.00       36.00    -1834.2350
    92   158      120.00       39.00    -1829.4120
    92   158      120.00       42.00    -1822.5610
    92   158      120.00       45.00    -1816.5740
    92   158      120.00       48.00    -1810.5770
    92   158      120.00       51.00    -1804.5170
    92   158      120.00       54.00    -1803.7087
    92   158      120.00       57.00    -1800.1310
    92   158      120.00       60.00    -1797.6000
    92   158      128.00        0.00    -1858.6170
    92   158      128.00        3.00    -1857.7430
    92   158      128.00        6.00    -1856.4920
    92   158      128.00        9.00    -1855.7900
    92   158      128.00       12.00    -1854.3030
    92   158      128.00       15.00    -1851.9930
    92   158      128.00       18.00    -1848.8400
    92   158      128.00       21.00    -1844.2790
    92   158      128.00       24.00    -1840.4540
    92   158      128.00       27.00    -1838.7860
    92   158      128.00       30.00    -1838.1130
    92   158      128.00       33.00    -1836.9920
    92   158      128.00       36.00    -1835.6360
    92   158      128.00       39.00    -1832.9870
    92   158      128.00       42.00    -1827.6990
    92   158      128.00       45.00    -1820.6840
    92   158      128.00       48.00    -1815.2150
    92   158      128.00       51.00    -1811.3200
    92   158      128.00       54.00    -1807.9438
    92   158      128.00       57.00    -1800.1570
    92   158      128.00       60.00    -1800.4470
    92   158      136.00        0.00    -1858.2710
    92   158      136.00        3.00    -1857.5740
    92   158      136.00        6.00    -1855.2300
    92   158      136.00        9.00    -1854.9660
    92   158      136.00       12.00    -1854.5480
    92   158      136.00       15.00    -1852.7470
    92   158      136.00       18.00    -1850.2250
    92   158      136.00       21.00    -1846.7740
    92   158      136.00       24.00    -1841.5340
    92   158      136.00       27.00    -1838.2340
    92   158      136.00       30.00    -1837.1950
    92   158      136.00       33.00    -1836.5300
    92   158      136.00       36.00    -1835.1400
    92   158      136.00       39.00    -1834.5160
    92   158      136.00       42.00    -1831.7800
    92   158      136.00       45.00    -1826.2490
    92   158      136.00       48.00    -1820.1740
    92   158      136.00       51.00    -1814.5470
    92   158      136.00       54.00    -1812.6190
    92   158      136.00       57.00    -1806.0939
    92   158      136.00       60.00    -1800.7780
    92   158      144.00        0.00    -1857.6170
    92   158      144.00        3.00    -1857.3410
    92   158      144.00        6.00    -1855.1920
    92   158      144.00        9.00    -1854.8880
    92   158      144.00       12.00    -1855.2720
    92   158      144.00       15.00    -1854.0090
    92   158      144.00       18.00    -1851.5480
    92   158      144.00       21.00    -1848.3550
    92   158      144.00       24.00    -1844.4670
    92   158      144.00       27.00    -1838.8330
    92   158      144.00       30.00    -1836.7310
    92   158      144.00       33.00    -1835.6980
    92   158      144.00       36.00    -1834.6460
    92   158      144.00       39.00    -1833.8820
    92   158      144.00       42.00    -1833.3360
    92   158      144.00       45.00    -1830.5300
    92   158      144.00       48.00    -1825.0090
    92   158      144.00       51.00    -1819.6310
    92   158      144.00       54.00    -1816.0350
    92   158      144.00       57.00    -1812.9580
    92   158      144.00       60.00    -1807.1640
    92   158      152.00        0.00    -1856.9780
    92   158      152.00        3.00    -1856.9450
    92   158      152.00        6.00    -1855.9210
    92   158      152.00        9.00    -1856.2910
    92   158      152.00       12.00    -1856.7980
    92   158      152.00       15.00    -1855.8200
    92   158      152.00       18.00    -1853.2550
    92   158      152.00       21.00    -1850.0070
    92   158      152.00       24.00    -1846.2060
    92   158      152.00       27.00    -1841.7820
    92   158      152.00       30.00    -1836.8930
    92   158      152.00       33.00    -1835.1800
    92   158      152.00       36.00    -1833.8840
    92   158      152.00       39.00    -1832.3800
    92   158      152.00       42.00    -1832.2040
    92   158      152.00       45.00    -1831.4760
    92   158      152.00       48.00    -1828.4930
    92   158      152.00       51.00    -1822.8270
    92   158      152.00       54.00    -1817.4020
    92   158      152.00       57.00    -1814.8650
    92   158      152.00       60.00    -1810.2580
    92   158      160.00        0.00    -1856.6440
    92   158      160.00        3.00    -1856.5840
    92   158      160.00        6.00    -1856.6810
    92   158      160.00        9.00    -1857.4390
    92   158      160.00       12.00    -1858.2700
    92   158      160.00       15.00    -1857.7490
    92   158      160.00       18.00    -1855.1330
    92   158      160.00       21.00    -1851.8590
    92   158      160.00       24.00    -1848.0870
    92   158      160.00       27.00    -1844.3570
    92   158      160.00       30.00    -1839.7530
    92   158      160.00       33.00    -1835.5910
    92   158      160.00       36.00    -1833.5800
    92   158      160.00       39.00    -1831.9700
    92   158      160.00       42.00    -1830.5810
    92   158      160.00       45.00    -1830.4660
    92   158      160.00       48.00    -1829.5850
    92   158      160.00       51.00    -1826.6310
    92   158      160.00       54.00    -1820.9350
    92   158      160.00       57.00    -1814.8584
    92   158      160.00       60.00    -1812.5767
    92   158      168.00        0.00    -1856.3040
    92   158      168.00        3.00    -1856.3000
    92   158      168.00        6.00    -1856.9470
    92   158      168.00        9.00    -1857.8810
    92   158      168.00       12.00    -1860.0410
    92   158      168.00       15.00    -1859.8800
    92   158      168.00       18.00    -1857.6510
    92   158      168.00       21.00    -1854.2910
    92   158      168.00       24.00    -1850.0880
    92   158      168.00       27.00    -1846.3250
    92   158      168.00       30.00    -1842.5870
    92   158      168.00       33.00    -1838.2500
    92   158      168.00       36.00    -1834.3250
