Q20,Q30,EHFB,HFBROT
0.0,-0.0,-1746.722695,-1746.942802
0.0,6000.0,-1745.318656,-1749.501179
0.0,12000.0,-1740.415187,-1744.007035
0.0,18000.0,-1737.546436,-1740.743921
0.0,24000.0,-1733.971637,-1737.093167
0.0,30000.0,-1729.148144,-1732.421653
0.0,36000.0,-1728.62069,-1734.157655
0.0,42000.0,-1726.598456,-1732.082207
0.0,48000.0,-1722.424687,-1727.585618
0.0,54000.0,-1717.246099,-1722.643659
0.0,60000.0,-1713.17632,-1718.65558
800.0,-0.0,-1748.992683,-1752.345317
800.0,6000.0,-1747.583937,-1751.558315
800.0,12000.0,-1740.061901,-1743.795379
800.0,18000.0,-1736.839831,-1740.341366
800.0,24000.0,-1734.072251,-1737.203652
800.0,30000.0,-1731.133271,-1734.010217
800.0,36000.0,-1728.663606,-1734.473704
800.0,42000.0,-1727.460456,-1733.1445
800.0,48000.0,-1726.473327,-1731.96642
800.0,54000.0,-1723.689915,-1729.061736
800.0,60000.0,-1718.904643,-1724.313877
1600.0,-0.0,-1754.932051,-1757.784661
1600.0,6000.0,-1753.982012,-1757.397654
1600.0,12000.0,-1744.506423,-1748.298724
1600.0,18000.0,-1738.004616,-1741.466007
1600.0,24000.0,-1733.942395,-1737.284937
1600.0,30000.0,-1730.757755,-1733.828944
1600.0,36000.0,-1729.125057,-1735.070257
1600.0,42000.0,-1728.26346,-1734.175032
1600.0,48000.0,-1727.177634,-1732.735074
1600.0,54000.0,-1724.882429,-1730.421655
1600.0,60000.0,-1723.0277,-1728.464594
2400.0,0.0,-1758.58575,-1761.525681
2400.0,6000.0,-1757.408824,-1760.833555
2400.0,12000.0,-1750.839629,-1754.10482
2400.0,18000.0,-1744.251204,-1747.687257
2400.0,24000.0,-1736.969927,-1740.610207
2400.0,30000.0,-1731.425882,-1734.585165
2400.0,36000.0,-1730.157635,-1736.584974
2400.0,42000.0,-1729.252599,-1735.418287
2400.0,48000.0,-1727.335275,-1733.225824
2400.0,54000.0,-1726.826266,-1732.557425
2400.0,60000.0,-1724.087064,-1729.730074
3200.0,0.0,-1755.399153,-1758.80021
3200.0,6000.0,-1755.055449,-1758.76373
3200.0,12000.0,-1751.896036,-1755.24412
3200.0,18000.0,-1748.925321,-1752.110471
3200.0,24000.0,-1743.660765,-1746.796272
3200.0,30000.0,-1736.569751,-1739.87185
3200.0,36000.0,-1729.336182,-1732.724038
3200.0,42000.0,-1728.982301,-1735.370689
3200.0,48000.0,-1728.344377,-1734.587446
3200.0,54000.0,-1726.787239,-1732.762671
3200.0,60000.0,-1724.744867,-1730.606221
4000.0,-0.0,-1750.816752,-1754.292937
4000.0,6000.0,-1750.162041,-1753.914612
4000.0,12000.0,-1749.208158,-1753.602476
4000.0,18000.0,-1747.165597,-1750.498181
4000.0,24000.0,-1745.877336,-1749.042033
4000.0,30000.0,-1742.234313,-1745.226941
4000.0,36000.0,-1736.174788,-1739.148208
4000.0,42000.0,-1728.756025,-1731.959579
4000.0,48000.0,-1727.235971,-1733.54764
4000.0,54000.0,-1726.537457,-1732.78874
4000.0,60000.0,-1725.524577,-1731.613884
4800.0,-0.0,-1749.99127,-1753.561701
4800.0,6000.0,-1747.468878,-1751.176894
4800.0,12000.0,-1744.318968,-1748.709985
4800.0,18000.0,-1743.312253,-1748.264057
4800.0,24000.0,-1742.103574,-1745.176248
4800.0,30000.0,-1741.402685,-1744.543843
4800.0,36000.0,-1739.51553,-1742.435776
4800.0,42000.0,-1735.3211,-1738.309064
4800.0,48000.0,-1729.739815,-1734.775547
4800.0,54000.0,-1726.327948,-1732.392385
4800.0,60000.0,-1724.708211,-1730.985248
5600.0,-0.0,-1750.961196,-1754.766122
5600.0,6000.0,-1747.35186,-1751.113701
5600.0,12000.0,-1742.396281,-1746.651681
5600.0,18000.0,-1739.180711,-1744.099293
5600.0,24000.0,-1738.262324,-1743.902376
5600.0,30000.0,-1737.717226,-1743.247967
5600.0,36000.0,-1737.746556,-1743.270269
5600.0,42000.0,-1737.276719,-1742.622947
5600.0,48000.0,-1735.629067,-1740.680088
5600.0,54000.0,-1731.752142,-1737.247519
5600.0,60000.0,-1726.569636,-1732.501026
6400.0,0.0,-1752.623733,-1756.482129
6400.0,6000.0,-1748.724369,-1752.60286
6400.0,12000.0,-1742.432374,-1746.634576
6400.0,18000.0,-1736.375324,-1741.198972
6400.0,24000.0,-1734.08661,-1739.549974
6400.0,30000.0,-1735.087318,-1740.649347
6400.0,36000.0,-1736.04857,-1741.610456
6400.0,42000.0,-1736.227613,-1741.735233
6400.0,48000.0,-1736.133443,-1741.689131
6400.0,54000.0,-1735.682675,-1741.138929
6400.0,60000.0,-1732.649859,-1738.170107
7200.0,0.0,-1754.082445,-1757.931025
7200.0,6000.0,-1750.848007,-1754.792421
7200.0,12000.0,-1743.220065,-1747.508106
7200.0,18000.0,-1735.86012,-1740.624314
7200.0,24000.0,-1731.744339,-1736.97704
7200.0,30000.0,-1731.275728,-1736.734802
7200.0,36000.0,-1732.441524,-1737.840637
7200.0,42000.0,-1733.379398,-1738.757907
7200.0,48000.0,-1733.670678,-1739.182245
7200.0,54000.0,-1733.736841,-1739.30194
7200.0,60000.0,-1733.735488,-1739.212228
8000.0,-0.0,-1755.121662,-1758.954182
8000.0,6000.0,-1752.762354,-1756.710577
8000.0,12000.0,-1745.635772,-1749.923879
8000.0,18000.0,-1736.986272,-1741.710429
8000.0,24000.0,-1730.725415,-1735.899722
8000.0,30000.0,-1727.684747,-1733.000949
8000.0,36000.0,-1728.520434,-1733.883029
8000.0,42000.0,-1729.323727,-1734.732941
8000.0,48000.0,-1731.165419,-1737.300909
8000.0,54000.0,-1730.731359,-1736.197294
8000.0,60000.0,-1730.083488,-1735.565099
8800.0,0.0,-1753.805874,-1757.907527
8800.0,6000.0,-1752.833556,-1756.971376
8800.0,12000.0,-1748.148256,-1752.44576
8800.0,18000.0,-1739.579694,-1744.227218
8800.0,24000.0,-1731.381467,-1736.457034
8800.0,30000.0,-1726.682414,-1732.091897
8800.0,36000.0,-1724.299398,-1730.229731
8800.0,42000.0,-1724.992123,-1730.382226
8800.0,48000.0,-1730.684273,-1736.578747
8800.0,54000.0,-1733.038019,-1739.040352
8800.0,60000.0,-1729.593119,-1735.663362
9600.0,0.0,-1752.052615,-1756.274715
