     Z      N         Q20         Q30         B         ZPE           M22           M23           M33
     92    140        0.00        0.00    -1738.6572        1.4587        0.0577        0.0000        0.4457
     92    140        0.00        3.00    -1742.8634        1.8470        0.0751       -0.0802        0.7900
     92    140        0.00        6.00    -1743.8019        0.6746        0.1290       -0.1878        2.0440
     92    140        0.00        9.00    -1731.9210        0.7720        0.1461       -0.2321        1.5140
     92    140        0.00       12.00    -1721.8450        0.7773        0.1350       -0.2057        1.2860
     92    140        0.00       15.00    -1711.2125        0.6858        0.1613       -0.3057        1.2180
     92    140        0.00       18.00    -1700.3186        0.7545        0.2397       -0.5472        1.5220
     92    140        0.00       21.00    -1700.0503        0.7285        0.2112       -0.4020        0.9593
     92    140        0.00       24.00    -1699.5072        2.1960        0.3097       -0.3960        0.5410
     92    140        0.00       27.00    -1693.4363        1.6232        0.2698       -0.3175        0.4239
     92    140        0.00       30.00    -1684.9714        0.7762        0.2238       -0.4635        1.0500
     92    140        0.00       33.00    -1676.4908        0.9161        0.2987       -0.6313        1.3970
     92    140        0.00       36.00    -1665.1498        0.9198        0.0959       -0.2025        0.4755
     92    140        0.00       39.00    -1659.5565        0.7577        0.0994       -0.2072        0.4887
     92    140        0.00       42.00    -1652.4465        0.7363        0.1228       -0.2546        0.6154
     92    140        0.00       45.00    -1647.2387        2.4667        0.1433       -0.2857        0.7028
     92    140        0.00       48.00    -1639.2285        2.4698        0.1543       -0.3043        0.7051
     92    140        0.00       51.00    -1628.1959        2.2021        0.1577       -0.3145        0.7289
     92    140        0.00       54.00    -1615.0671        0.5836        0.1200       -0.2478        0.5974
     92    140        0.00       57.00    -1602.1887        2.3576        0.0837       -0.1681        0.4087
     92    140        0.00       60.00    -1635.8409        0.7965        0.1114       -0.2053        0.4440
     92    140        8.00        0.00    -1742.2008        1.3071        0.0631        0.0000        0.6523
     92    140        8.00        3.00    -1744.9832        1.2977        0.0835       -0.0654        0.5997
     92    140        8.00        6.00    -1744.7052        0.8665        0.1649       -0.1377        1.3620
     92    140        8.00        9.00    -1737.5108        0.8759        0.1341       -0.2030        1.7440
     92    140        8.00       12.00    -1722.9435        1.2580        0.1002       -0.1781        0.3714
     92    140        8.00       15.00    -1718.2067        1.0984        0.0977       -0.1757        0.3920
     92    140        8.00       18.00    -1710.5221        0.9304        0.1330       -0.2484        0.4879
     92    140        8.00       21.00    -1707.6281        2.2938        0.1766       -0.3355        0.6628
     92    140        8.00       24.00    -1707.4371        1.7901        0.3662       -0.6891        1.3260
     92    140        8.00       27.00    -1704.8334        2.2377        0.2555       -0.3263        0.4378
     92    140        8.00       30.00    -1704.5283        2.3949        0.3065       -0.3815        0.4962
     92    140        8.00       33.00    -1700.5769        2.0071        0.2484       -0.2943        0.3746
     92    140        8.00       36.00    -1693.9981        1.7327        0.1576       -0.2082        0.5664
     92    140        8.00       39.00    -1686.9793        0.7867        0.3998       -0.7607        1.5030
     92    140        8.00       42.00    -1677.7765        0.8659        0.1728       -0.3274        0.6587
