   Q20	    Q22	  pairing    E_HFB         E_ZPE     B2020      B2222       Bpairpair   B2022       B20pair     B22pair       \Delta_n    \Delta_p  	
   22.00    0.00    0.00   -1802.541       4.358    0.014537    0.021457    0.000461    0.000000   -0.001651    0.000000       1.002       1.046
   22.00    0.00    1.00   -1802.537       4.423    0.014193    0.021247    0.000444    0.000000   -0.001595    0.000000       1.016       1.059
   22.00    0.00    2.00   -1802.529       4.431    0.013940    0.020932    0.000443    0.000000   -0.001579    0.000000       1.030       1.072
   22.00    0.00    3.00   -1802.522       4.441    0.013591    0.020591    0.000434    0.000000   -0.001535    0.000000       1.044       1.086
   22.00    0.00    4.00   -1802.507       4.450    0.013240    0.020268    0.000413    0.000000   -0.001471    0.000000       1.058       1.099
   22.00    0.00    5.00   -1802.489       4.460    0.012923    0.019947    0.000403    0.000000   -0.001426    0.000000       1.072       1.112
   22.00    0.00    6.00   -1802.467       4.469    0.012648    0.019632    0.000413    0.000000   -0.001420    0.000000       1.086       1.125
   22.00    0.00    7.00   -1802.448       4.481    0.012320    0.019308    0.000403    0.000000   -0.001372    0.000000       1.101       1.138
   22.00    0.00    8.00   -1802.419       4.491    0.012068    0.018999    0.000377    0.000000   -0.001303    0.000000       1.115       1.150
   22.00    0.00    9.00   -1802.387       4.500    0.011827    0.018703    0.000368    0.000000   -0.001267    0.000000       1.129       1.163
   22.00    0.00   10.00   -1802.350       4.510    0.011631    0.018411    0.000374    0.000000   -0.001263    0.000000       1.142       1.176
   22.00    0.00   11.00   -1802.315       4.522    0.011369    0.018106    0.000368    0.000000   -0.001225    0.000000       1.157       1.188
   22.00    0.00   12.00   -1802.272       4.532    0.011152    0.017825    0.000347    0.000000   -0.001168    0.000000       1.171       1.201
   22.00    0.00   13.00   -1802.225       4.542    0.010916    0.017551    0.000340    0.000000   -0.001132    0.000000       1.184       1.213
   22.00    0.00   14.00   -1802.174       4.552    0.010690    0.017281    0.000334    0.000000   -0.001098    0.000000       1.198       1.226
   22.00    0.00   15.00   -1802.119       4.562    0.010490    0.017017    0.000341    0.000000   -0.001090    0.000000       1.211       1.238
   22.00    0.00   16.00   -1802.066       4.574    0.010330    0.016744    0.000341    0.000000   -0.001075    0.000000       1.226       1.250
   22.00    0.00   17.00   -1802.007       4.585    0.010145    0.016473    0.000335    0.000000   -0.001044    0.000000       1.240       1.263
   22.00    0.00   18.00   -1801.945       4.597    0.009964    0.016220    0.000324    0.000000   -0.001006    0.000000       1.254       1.275
   22.00    0.00   19.00   -1801.876       4.607    0.009772    0.015977    0.000323    0.000000   -0.000976    0.000000       1.268       1.288
   22.00    0.00   20.00   -1801.810       4.620    0.009635    0.015728    0.000317    0.000000   -0.000952    0.000000       1.281       1.303
   22.00    0.00   21.00   -1801.733       4.630    0.009539    0.015497    0.000297    0.000000   -0.000918    0.000000       1.294       1.315
   22.00    0.00   22.00   -1801.652       4.640    0.009378    0.015269    0.000293    0.000000   -0.000892    0.000000       1.307       1.327
   22.00    0.00   23.00   -1801.568       4.650    0.009224    0.015045    0.000296    0.000000   -0.000875    0.000000       1.320       1.339
   22.00    0.00   24.00   -1801.482       4.661    0.009072    0.014822    0.000302    0.000000   -0.000865    0.000000       1.333       1.352
   22.00    0.00   25.00   -1801.393       4.673    0.008891    0.014597    0.000309    0.000000   -0.000851    0.000000       1.347       1.364
   22.00    0.00   26.00   -1801.304       4.686    0.008729    0.014375    0.000294    0.000000   -0.000805    0.000000       1.361       1.378
   22.00    0.00   27.00   -1801.204       4.696    0.008636    0.014166    0.000282    0.000000   -0.000782    0.000000       1.374       1.390
   22.00    0.00   28.00   -1801.105       4.708    0.008466    0.013950    0.000296    0.000000   -0.000776    0.000000       1.389       1.402
   22.00    0.00   29.00   -1801.004       4.721    0.008293    0.013737    0.000287    0.000000   -0.000735    0.000000       1.403       1.415
   22.00    0.00   30.00   -1800.896       4.732    0.008178    0.013543    0.000268    0.000000   -0.000694    0.000000       1.416       1.428
   22.00    0.00   31.00   -1800.783       4.742    0.008038    0.013354    0.000262    0.000000   -0.000669    0.000000       1.429       1.441
   22.00    0.00   32.00   -1800.664       4.753    0.007906    0.013170    0.000258    0.000000   -0.000645    0.000000       1.441       1.453
   22.00    0.00   33.00   -1800.541       4.762    0.007783    0.012992    0.000254    0.000000   -0.000624    0.000000       1.454       1.465
   22.00    0.00   34.00   -1800.414       4.772    0.007668    0.012818    0.000252    0.000000   -0.000604    0.000000       1.466       1.477
   22.00    0.00   35.00   -1800.283       4.782    0.007559    0.012648    0.000250    0.000000   -0.000585    0.000000       1.478       1.489
   22.00    0.00   36.00   -1800.148       4.791    0.007456    0.012482    0.000248    0.000000   -0.000567    0.000000       1.491       1.501
   22.00    0.00   37.00   -1800.010       4.801    0.007358    0.012318    0.000246    0.000000   -0.000549    0.000000       1.503       1.513
   22.00    0.00   38.00   -1799.869       4.811    0.007264    0.012156    0.000243    0.000000   -0.000531    0.000000       1.515       1.526
   22.00    0.00   39.00   -1799.725       4.821    0.007173    0.011996    0.000239    0.000000   -0.000512    0.000000       1.528       1.538
   22.00    0.00   40.00   -1799.579       4.832    0.007085    0.011837    0.000233    0.000000   -0.000493   -0.000000       1.540       1.552
   22.00    0.00   41.00   -1799.425       4.841    0.006982    0.011687    0.000229    0.000000   -0.000472    0.000000       1.552       1.563
   22.00    0.00   42.00   -1799.268       4.850    0.006884    0.011540    0.000226    0.000000   -0.000453    0.000000       1.565       1.575
   22.00    0.00   43.00   -1799.108       4.860    0.006793    0.011396    0.000223    0.000000   -0.000436    0.000000       1.577       1.586
   22.00    0.00   44.00   -1798.944       4.870    0.006707    0.011255    0.000220    0.000000   -0.000420    0.000000       1.589       1.598
   22.00    0.00   45.00   -1798.777       4.880    0.006625    0.011116    0.000218    0.000000   -0.000405    0.000000       1.602       1.609
   22.00    0.00   46.00   -1798.607       4.890    0.006549    0.010981    0.000216    0.000000   -0.000391    0.000000       1.614       1.621
   22.00    0.00   47.00   -1798.433       4.900    0.006476    0.010849    0.000214    0.000000   -0.000378    0.000000       1.627       1.632
   22.00    0.00   48.00   -1798.255       4.910    0.006406    0.010720    0.000212    0.000000   -0.000366    0.000000       1.639       1.644
   22.00    0.00   49.00   -1798.074       4.920    0.006340    0.010594    0.000210    0.000000   -0.000354    0.000000       1.651       1.655
   22.00    0.00   50.00   -1797.889       4.929    0.006276    0.010472    0.000208    0.000000   -0.000343    0.000000       1.663       1.667
   22.00    0.00   51.00   -1797.701       4.939    0.006214    0.010353    0.000205    0.000000   -0.000331    0.000000       1.675       1.678
   22.00    0.00   52.00   -1797.509       4.948    0.006154    0.010237    0.000202    0.000000   -0.000320    0.000000       1.687       1.688
   22.00    0.00   53.00   -1797.314       4.956    0.006095    0.010125    0.000199    0.000000   -0.000308   -0.000000       1.699       1.699
   22.00    1.00    0.00   -1802.509       4.358    0.014429    0.021830    0.000459   -0.001025   -0.001626    0.000056       1.003       1.046
   22.00    1.00    1.00   -1802.505       4.430    0.014139    0.021548    0.000446   -0.000980   -0.001587    0.000104       1.017       1.059
   22.00    1.00    2.00   -1802.497       4.439    0.013852    0.021201    0.000444   -0.000918   -0.001562    0.000068       1.031       1.072
   22.00    1.00    3.00   -1802.490       4.450    0.013510    0.020830    0.000434   -0.000854   -0.001518    0.000061       1.045       1.087
   22.00    1.00    4.00   -1802.475       4.459    0.013214    0.020479    0.000414   -0.000796   -0.001461    0.000058       1.059       1.099
   22.00    1.00    5.00   -1802.457       4.469    0.012855    0.020135    0.000403   -0.000742   -0.001410    0.000056       1.073       1.112
   22.00    1.00    6.00   -1802.435       4.478    0.012586    0.019800    0.000401   -0.000695   -0.001385    0.000054       1.087       1.125
   22.00    1.00    7.00   -1802.412       4.489    0.012267    0.019458    0.000403   -0.000630   -0.001359    0.000049       1.101       1.138
   22.00    1.00    8.00   -1802.387       4.500    0.012017    0.019132    0.000388   -0.000591   -0.001311    0.000048       1.116       1.151
   22.00    1.00    9.00   -1802.354       4.510    0.011778    0.018821    0.000369   -0.000555   -0.001256    0.000045       1.130       1.163
   22.00    1.00   10.00   -1802.318       4.520    0.011521    0.018515    0.000375   -0.000539   -0.001243    0.000050       1.143       1.176
   22.00    1.00   11.00   -1802.283       4.532    0.011299    0.018199    0.000368   -0.000508   -0.001209    0.000049       1.158       1.189
   22.00    1.00   12.00   -1802.240       4.542    0.011087    0.017910    0.000347   -0.000493   -0.001154    0.000052       1.172       1.201
   22.00    1.00   13.00   -1802.192       4.551    0.010880    0.017626    0.000341   -0.000467   -0.001123    0.000051       1.185       1.214
   22.00    1.00   14.00   -1802.142       4.561    0.010612    0.017348    0.000334   -0.000441   -0.001083    0.000051       1.199       1.226
   22.00    1.00   15.00   -1802.087       4.571    0.010460    0.017074    0.000341   -0.000439   -0.001082    0.000058       1.212       1.238
   22.00    1.00   16.00   -1802.033       4.583    0.010300    0.016794    0.000355   -0.000417   -0.001087    0.000059       1.227       1.251
   22.00    1.00   17.00   -1801.978       4.596    0.010115    0.016521    0.000344   -0.000395   -0.001046    0.000059       1.242       1.263
