Q20,Q30
2.500000000000000000e+01,0.000000000000000000e+00
3.298803589700980865e+01,4.301625543294608500e-02
4.107812365787820141e+01,3.855255620209968592e-02
4.927334120816257013e+01,1.171782819039528939e-02
5.784336190693996116e+01,1.111149691656000277e-01
6.645448841223658576e+01,1.990798539650728005e-01
7.535784881871319385e+01,5.977742942648929247e-01
8.433587488194292803e+01,1.199368046849554004e+00
9.325765398708341536e+01,3.053062410415894767e+00
1.020655100232443573e+02,5.399843650739698298e+00
1.109779119512848951e+02,7.600622219741650198e+00
1.199884540731065243e+02,9.400068806212349415e+00
1.291192980495548852e+02,1.099863313940702270e+01
1.383843116543942813e+02,1.245012589950982118e+01
1.475967162170165352e+02,1.420035391894971077e+01
1.567906281244893307e+02,1.620059468979087924e+01
1.660174955456095631e+02,1.800026855165873130e+01
1.751865067995684626e+02,1.962460196460409634e+01
1.844056362890117384e+02,2.086831598743253835e+01
1.936082832582851267e+02,2.219268869587849480e+01
2.027703050713031985e+02,2.336460707126726533e+01
2.119245732912431208e+02,2.439870167231651621e+01
2.208495358101535544e+02,2.620031840218429053e+01
2.296750639935350762e+02,2.739761228401255977e+01
2.383894547964794697e+02,2.903390601200806387e+01
2.470899807033452760e+02,3.055164824120063827e+01
2.557922386538314470e+02,3.200009277795648188e+01
2.644594633205392711e+02,3.310398774148644208e+01
2.731679940501517194e+02,3.379920569083977000e+01
2.818312985074151698e+02,3.439974892762715086e+01
2.904707227212875864e+02,3.379985640378976797e+01
2.984796965259143917e+02,3.078969328830025276e+01
