Q20,Q30
2.600000000000000000e+01,0.000000000000000000e+00
2.872076918827052339e+01,1.502766645607989116e-01
3.145159055266136150e+01,1.506091879627461660e-01
3.418310389726460130e+01,1.348466941691501275e-01
3.690918022087691952e+01,5.096481422677637263e-02
3.964159975681109671e+01,2.154889512089766535e-02
4.236596153207660365e+01,5.556981590820173761e-02
4.509450461477912597e+01,1.346508950785534064e-01
4.782111394769145107e+01,1.180724452535361069e-01
5.055216699194230756e+01,1.150284251985551343e-01
5.328074586441182703e+01,1.038074859794876348e-01
5.600623023862221572e+01,1.074805439757004488e-01
5.875229608107779455e+01,7.087634939784018262e-02
6.142857270305359663e+01,4.867681895652335722e-02
6.423654560664559199e+01,1.201964060412210877e-01
6.685357478786860952e+01,2.355871914056051342e-01
6.970899239965785910e+01,3.229348318625077652e-01
7.228522924333665856e+01,4.118499024940035502e-01
7.517379781545012918e+01,5.204055268333181994e-01
7.772440648403963337e+01,6.174707724137159515e-01
8.063667962498325892e+01,8.120821500347603639e-01
8.314783943378364484e+01,1.066896398971252546e+00
8.606080060526899445e+01,1.509969058977937539e+00
8.851550140817647616e+01,1.955347770438391031e+00
9.142222076647162510e+01,2.602106150800519657e+00
9.381547432950085863e+01,3.183903608019866827e+00
9.672688252348913807e+01,3.944748830353522528e+00
9.907656678628435998e+01,4.573216146650677771e+00
1.020122258019308532e+02,5.348352241437379639e+00
1.043422014080124995e+02,5.958885213129445191e+00
1.073096470901754316e+02,6.691191786407310715e+00
1.096358434160012933e+02,7.253623767850513993e+00
1.126313186863156375e+02,7.920412210867711522e+00
1.149648477958040900e+02,8.413709581886008593e+00
1.179806246516911727e+02,9.006450908459228799e+00
1.203261766137512012e+02,9.431136064994502632e+00
1.233501371002424918e+02,9.977839131631332847e+00
1.257009134651088686e+02,1.038498991345690570e+01
1.287277959792338891e+02,1.090100376707837171e+01
1.310851218831103040e+02,1.128452111891065535e+01
1.341136938652350636e+02,1.177790500935333817e+01
1.364719716212978540e+02,1.216660980444850715e+01
1.394957423319779650e+02,1.268163437601906551e+01
1.418478623053017600e+02,1.311293355643040393e+01
1.448602708782794082e+02,1.368641550730517409e+01
1.472038189253271128e+02,1.416678695441088287e+01
1.502047734441870546e+02,1.479424238177773532e+01
1.525432778399128040e+02,1.530242884222147026e+01
1.555391726450402246e+02,1.595083436240171970e+01
1.578811659980194975e+02,1.644665736492927266e+01
1.608834512728505501e+02,1.706221680973521515e+01
1.632342440847290277e+02,1.751800589529140595e+01
1.662445969192336577e+02,1.809176496227740216e+01
1.685993579271992076e+02,1.852799907665126256e+01
1.716151417844905893e+02,1.907327438959728383e+01
1.739773040090773293e+02,1.946760271024668043e+01
1.770056824610868489e+02,1.993999977762346276e+01
1.793783630904927406e+02,2.026310029196222473e+01
1.824187326319410261e+02,2.065653621052628353e+01
1.847953040770790949e+02,2.094545800766390542e+01
1.878373802359432432e+02,2.132984250800856429e+01
1.902101220889012154e+02,2.165018462226359475e+01
1.932460660218887085e+02,2.207655796168034712e+01
1.956183788209660577e+02,2.240976030495881233e+01
1.986556880427683609e+02,2.281409679398399248e+01
2.010362814990449181e+02,2.310152417324619378e+01
2.040790666876787895e+02,2.344298696833637408e+01
2.064655036110030721e+02,2.370160747806124135e+01
2.095029888913167611e+02,2.406922727276826279e+01
2.118846977055818570e+02,2.438327567288522957e+01
2.149001687903775633e+02,2.489845063641150347e+01
2.172553917413065392e+02,2.536828314148448271e+01
2.202534490592796601e+02,2.598471646366440879e+01
2.226124615537983971e+02,2.642345959414651801e+01
2.256425073930500389e+02,2.687863869307369313e+01
2.280174576823876293e+02,2.719485242886186072e+01
2.310504373374272973e+02,2.765778396906353009e+01
2.334038762988600695e+02,2.808789788583984759e+01
2.364229607193253742e+02,2.864922309267494427e+01
2.387764843855273398e+02,2.907477831806798463e+01
2.417994237009098413e+02,2.960185648802833924e+01
2.441607584085238329e+02,3.001948751738023446e+01
2.471673869664045355e+02,3.057924216301607601e+01
2.495382431083730523e+02,3.102507638419303859e+01
2.525335472637660530e+02,3.154646965245632373e+01
2.549409158476178447e+02,3.190303111526319313e+01
2.579309267913031931e+02,3.230426416667047818e+01
2.603716967508381686e+02,3.260396084419408425e+01
2.633392452958561876e+02,3.296722996570192521e+01
2.658116652773746296e+02,3.324737596079516067e+01
2.687569465498814338e+02,3.353194678594181255e+01
2.712701342185723661e+02,3.372465819728842007e+01
2.741876923565844208e+02,3.394031133478105744e+01
2.767346219856809739e+02,3.414597468992316465e+01
2.796130816804590609e+02,3.439985680976069204e+01
2.821974613193446544e+02,3.460562386740551943e+01
2.850465589716849308e+02,3.469845670684002670e+01
2.876755162209473156e+02,3.454443722126052307e+01
2.904566354918069919e+02,3.415203226848145590e+01
2.930833494417627776e+02,3.364146184219620039e+01
2.957045945771270112e+02,3.276044494354530912e+01
2.980000000000000000e+02,3.130000000000000071e+01
