Q20,Q30
2.500000000000000000e+01,0.000000000000000000e+00
2.772351642667144134e+01,1.804471163687348945e-02
3.045931629190678436e+01,2.011359935182698358e-02
3.319725468129976775e+01,2.981844859018760192e-03
3.593482842116389264e+01,7.163178888005375389e-02
3.867394301684763747e+01,5.957857712247953408e-02
4.141279278495424876e+01,4.239623021902245992e-02
4.415242113949934577e+01,9.544658741876177466e-02
4.689217727964305027e+01,1.477547234816145860e-01
4.963325665983231971e+01,1.048612695167598641e-01
5.237241839781849961e+01,3.462202237418104955e-02
5.511120824035537424e+01,7.227721292900050887e-03
5.784707855437307700e+01,2.675753098182956022e-03
6.057406517401133073e+01,2.507104972492671946e-01
6.328055277988858762e+01,6.432212875901682780e-01
6.600580783219261605e+01,8.829772696610211913e-01
6.874745314155801168e+01,8.860177222796827845e-01
7.148608392360820574e+01,7.825895187821790833e-01
7.422393425518083632e+01,7.060424242062238731e-01
7.694923426988545145e+01,7.474247522041921332e-01
7.968263567662721414e+01,9.181422876725124915e-01
8.239855113951708177e+01,1.206337244743243664e+00
8.511272543023802939e+01,1.610086109124096110e+00
8.780457185622330485e+01,2.074268573535365867e+00
9.049891855979099375e+01,2.591019866435665620e+00
9.317951759899270314e+01,3.113315027536988300e+00
9.586843090878501528e+01,3.654259718131793289e+00
9.853695897084999444e+01,4.234723963988009210e+00
1.012132153681978508e+02,4.835240308552529953e+00
1.038797329687157713e+02,5.425626309711615747e+00
1.065581512821879642e+02,6.017801495521949207e+00
1.092187441987419021e+02,6.635757782469990929e+00
1.118811033326827413e+02,7.295479601443655149e+00
1.145381632690281748e+02,7.930475119599480927e+00
1.172077980524517073e+02,8.560689489065605784e+00
1.198687506042469550e+02,9.180210547037455981e+00
1.225452857968464002e+02,9.778798195682975702e+00
1.252265054416051271e+02,1.030368308780764153e+01
1.279278675812368391e+02,1.077682238075461818e+01
1.306314353461182804e+02,1.117243767245703090e+01
1.333464018809302729e+02,1.156078431625996039e+01
1.360476304006279520e+02,1.197343768458140723e+01
1.387586117274051105e+02,1.238902468256471501e+01
1.414495996114785044e+02,1.286466022965555567e+01
1.441388244715610369e+02,1.340386868530872100e+01
1.468002343403487373e+02,1.402399200043054250e+01
1.494729823589477178e+02,1.463948939240908942e+01
1.521539351773195392e+02,1.516859917029055893e+01
1.548549668916463986e+02,1.564613516375215596e+01
1.575365929774943936e+02,1.617339086088977496e+01
1.601937737275054303e+02,1.685469901308967522e+01
1.627840490180778943e+02,1.772561470277582885e+01
1.653691171367132711e+02,1.864163485116841201e+01
1.680147302111163583e+02,1.932482964697860339e+01
1.707250586992421404e+02,1.974599895636009350e+01
1.734467849517722868e+02,1.999299114537782529e+01
1.761830836190864034e+02,2.019025533878233958e+01
1.789068996524671604e+02,2.041325015969323431e+01
1.816287905830716340e+02,2.075728970737716494e+01
1.843289368082586179e+02,2.117860381168177497e+01
1.870346857792904416e+02,2.163252310601728468e+01
1.897429351210121240e+02,2.199787270970659492e+01
1.924693519041775005e+02,2.230604126572704970e+01
1.951863630841474446e+02,2.260113457779019797e+01
1.979032149843272350e+02,2.298528063241517572e+01
2.005941128133075324e+02,2.346224650376522547e+01
2.032760006069044323e+02,2.404165492143631155e+01
2.059448838850516950e+02,2.462986970964055544e+01
2.086494436597989477e+02,2.509310106124825523e+01
2.113607191890491492e+02,2.543756574965792794e+01
2.141017300788470550e+02,2.556523656066071126e+01
2.168340888190556086e+02,2.550180249619064199e+01
2.195762786161801898e+02,2.540024958306858593e+01
2.223063194740666404e+02,2.553010374318652964e+01
2.249759652388057987e+02,2.616616729150913301e+01
2.276032612667096657e+02,2.691835844001450440e+01
2.302745615238733592e+02,2.754785607249214507e+01
2.329703813720974779e+02,2.799444331445203460e+01
2.357042058097257211e+02,2.824055932116395340e+01
2.384349174098151138e+02,2.834078036993688343e+01
2.411789701946722744e+02,2.826114132040864746e+01
2.439040982183080928e+02,2.806259575844588738e+01
2.466447609241753867e+02,2.790118178311347208e+01
2.493766132483124522e+02,2.785060911854078824e+01
2.521197339304962384e+02,2.796534747109900820e+01
2.548261298717746968e+02,2.834136181182669390e+01
2.575119074294025268e+02,2.891031132348798138e+01
2.601588231713450909e+02,2.958855412311631383e+01
2.628105932151731849e+02,3.029831088512455395e+01
2.654749937926946473e+02,3.090573143643223020e+01
2.681707298092102860e+02,3.142220763476851886e+01
2.708754576280533115e+02,3.181778874339054752e+01
2.736031490751323076e+02,3.211846448158263456e+01
2.763322833880336020e+02,3.228671445961355602e+01
2.790753062951261541e+02,3.225859446812358300e+01
2.818093267717268873e+02,3.212213351396918881e+01
2.845567139818926989e+02,3.219483569796604883e+01
2.872681173496541192e+02,3.253649686798660667e+01
2.899847699068042743e+02,3.287696099407470740e+01
2.927152230098607788e+02,3.275372407913136641e+01
2.953686410172311980e+02,3.205694230255660671e+01
2.980000000000000000e+02,3.130000000000000071e+01
