Q20,Q30
2.500000000000000000e+01,0.000000000000000000e+00
2.885577133880845579e+01,8.038777378942950358e-03
3.271163302456556465e+01,2.117003898862128940e-03
3.656756501223037503e+01,9.909360677942038315e-04
4.042352704505597671e+01,1.090983949421984187e-03
4.427954031358396492e+01,4.649668532568567401e-03
4.813561615647166292e+01,8.175223374343877636e-03
5.199174831842498890e+01,7.343619053309861748e-03
5.584797718364953312e+01,4.510291157135474377e-03
5.970428676571457061e+01,3.508222936630829396e-03
6.356064278112157240e+01,2.430004897793373430e-03
6.741304230427488164e+01,1.761733619527945105e-01
7.126312237537574390e+01,4.061459811496117012e-01
7.512029615691349704e+01,4.418181237285275786e-01
7.897457979096081715e+01,2.733396540303331124e-01
8.283185190023520761e+01,1.967867238433360089e-01
8.668166535630103908e+01,4.496445694578051211e-01
9.048392327691408354e+01,1.106856461814344605e+00
9.408357855557200367e+01,2.497754304026382322e+00
9.761106235964061284e+01,4.062765185385861066e+00
1.012676249976472178e+02,5.300405562705702067e+00
1.049729281426774605e+02,6.383263515947620981e+00
1.087061559059175977e+02,7.364504176088923160e+00
1.124540128559317083e+02,8.287262428036683559e+00
1.162493236969302615e+02,8.987639561797879040e+00
1.200727046275411993e+02,9.510902022294803970e+00
1.238748542566637809e+02,1.016733810881863853e+01
1.276759976134922425e+02,1.082470261320726301e+01
1.314923738387198853e+02,1.137997874228433659e+01
1.353111235085291639e+02,1.191203861961061428e+01
1.391255673618306332e+02,1.246346910364518124e+01
1.429214824320873447e+02,1.311221485168652201e+01
1.466921982927176202e+02,1.388932524804896573e+01
1.504446633364779871e+02,1.474574095962592857e+01
1.541751107365844859e+02,1.568943101240931348e+01
1.579150988396823720e+02,1.658476997979595069e+01
1.616881038880102892e+02,1.732367808839755696e+01
1.654725986324978635e+02,1.799366855849392977e+01
1.692433484215370356e+02,1.873323372576383861e+01
1.730176528854690616e+02,1.945119160600356523e+01
1.768152347130653936e+02,2.003177927099807576e+01
1.806284410569510328e+02,2.049099571143381482e+01
1.844467364026379528e+02,2.089279825970076843e+01
1.882612435219942881e+02,2.131790794682319401e+01
1.920562014165195421e+02,2.188560699624059325e+01
1.958402020710759928e+02,2.251843615457850589e+01
1.996407969245992717e+02,2.304028437496502235e+01
2.034601456077687942e+02,2.339763566714279364e+01
2.072834500792278050e+02,2.371001547025732492e+01
2.111048562397704131e+02,2.404679212980860825e+01
2.149064560364780334e+02,2.456303085712429990e+01
2.185571548488359781e+02,2.574378224505189650e+01
2.222826685288273723e+02,2.666265973387901411e+01
2.261077533195704348e+02,2.697019966310045902e+01
2.299417902489371386e+02,2.714319754614841074e+01
2.336937575605939230e+02,2.795609004261912389e+01
2.374044758073505648e+02,2.894297691193848365e+01
2.412057994119747377e+02,2.949156230900598885e+01
2.450183914172536106e+02,2.996703315964919057e+01
2.487020479363796142e+02,3.106661014328046377e+01
2.524546002263889477e+02,3.190242184180836205e+01
2.562715174206549023e+02,3.236725735913311297e+01
2.601039240699172410e+02,3.268270952868753909e+01
2.637741588540242219e+02,3.383214547581673770e+01
2.676058817106928700e+02,3.416418116692037188e+01
2.714445743607973895e+02,3.392529542779268326e+01
2.752907024448555831e+02,3.390919012751592021e+01
2.791000420037167373e+02,3.444167744520468943e+01
2.827239998362487654e+02,3.573081595015489853e+01
2.865615793483811444e+02,3.599189837579645257e+01
2.902060856567570113e+02,3.476012924171230623e+01
2.939628743155509483e+02,3.393171573094181070e+01
