Q20,Q30
2.500000000000000000e+01,0.000000000000000000e+00
3.164667236547732188e+01,2.237175861708562072e-02
3.829771796709302834e+01,1.539987523814390635e-01
4.495131914795262418e+01,6.964115609206633639e-02
5.161001320297336292e+01,6.715700543554029012e-02
5.827425950926348719e+01,2.587936090957504431e-01
6.494251013970219333e+01,3.657293049225851522e-02
7.160215575703992386e+01,4.000056261995482143e-01
7.830437304379067598e+01,3.999608623075370240e-01
8.501524615435957344e+01,3.999923076583043469e-01
9.165432668804605498e+01,1.404156900164364563e+00
9.776308458000609392e+01,4.191368891194642288e+00
1.041701098408017288e+02,6.200004393739967590e+00
1.106780633529737088e+02,7.800002349956852932e+00
1.172152337654483745e+02,9.199972629934109136e+00
1.238185520155554542e+02,1.019999714352668008e+01
1.304055132783296926e+02,1.120000297367213093e+01
1.369762292235958228e+02,1.220001376326741749e+01
1.435415089936583684e+02,1.319999973048651931e+01
1.500354979270881302e+02,1.460001693748284879e+01
1.564892719083241843e+02,1.620001630942730841e+01
1.629976773536590429e+02,1.760000608366033603e+01
1.695633551979711626e+02,1.879999136674260996e+01
1.761500517497998715e+02,1.999997747294518646e+01
1.828199410769611291e+02,2.079993951813358066e+01
1.895325236712842809e+02,2.140004702404153036e+01
1.961750990744527883e+02,2.260004704698000211e+01
2.029041968006054049e+02,2.339998591332162903e+01
2.096886408704967550e+02,2.399997523090645757e+01
2.164576137619841631e+02,2.500006149121806942e+01
2.230902993605028257e+02,2.680000254576360774e+01
2.300094012993198476e+02,2.720003157585271936e+01
2.367912265788049808e+02,2.880000470165504112e+01
2.437108352269586931e+02,2.980002107515342757e+01
2.504984666176607391e+02,3.160005269949650852e+01
2.575019838119144993e+02,3.240003627550723309e+01
2.643815599267805965e+02,3.400002135241542334e+01
2.714550883666857999e+02,3.383436894585498322e+01
2.785162765025837075e+02,3.428488943558352275e+01
2.853808710107647357e+02,3.600000561875474858e+01
2.922451322127438402e+02,3.419997230495199148e+01
2.985307451642425463e+02,3.088933981860688149e+01
