Q20,Q30
2.400000000000000000e+01,0.000000000000000000e+00
2.657517979581639622e+01,-2.993334013722769721e-02
2.915760819411966409e+01,-3.363896649473342715e-02
3.173912836163807327e+01,-2.738425677029241584e-02
3.432354441164988401e+01,-2.723145324243767332e-02
3.690585394194988567e+01,-2.085701870862017443e-02
3.948365330406698348e+01,-3.782515675658508492e-03
4.205928441102891213e+01,-3.814217204615018980e-02
4.463061035096191631e+01,-2.605481611644666975e-02
4.719962844412133052e+01,1.030284986924185769e-01
4.976862309684532448e+01,5.222029943618971409e-02
5.234622333195482469e+01,-3.302182257222695261e-02
5.492346299552941957e+01,-1.381013411293389309e-02
5.750238281692941911e+01,-3.626900206427256107e-02
6.007450528967773806e+01,1.432332377620136321e-01
6.262712297527075123e+01,5.361903469798935395e-01
6.519095481668988157e+01,8.469751550202955226e-01
6.777817482779775560e+01,8.349985096237731996e-01
7.035710408788206394e+01,6.257071889814983523e-01
7.294085395805392125e+01,4.499176487436457594e-01
7.553152145770901882e+01,4.686549890920398420e-01
7.811687234263521873e+01,6.353894206175191295e-01
8.069669358137197435e+01,8.856065878362003874e-01
8.326715168970859793e+01,1.225681582902969469e+00
8.582075810736024835e+01,1.687270683086750767e+00
8.835773484133876821e+01,2.231671282392527988e+00
9.089508221215042738e+01,2.775507541482436391e+00
9.343398667722682660e+01,3.309705409776331653e+00
9.597175790547211705e+01,3.860903940106520604e+00
9.850517150412913736e+01,4.438835358563085975e+00
1.010345230612413019e+02,5.031669256119540634e+00
1.035663848370352866e+02,5.613337415727956525e+00
1.060998368670286993e+02,6.194078950609527290e+00
1.086238133248281628e+02,6.817107346084462449e+00
1.111422929483687909e+02,7.464795115124805314e+00
1.136668745839404409e+02,8.089021574911942736e+00
1.161977899982909861e+02,8.688845949481748931e+00
1.187310080195174606e+02,9.280639818511152939e+00
1.212664229583516828e+02,9.862094766674134760e+00
1.238131187313467905e+02,1.039336828248244871e+01
1.263749492445746370e+02,1.084704979443113437e+01
1.289480267769835109e+02,1.122925519271071160e+01
1.315261287989376626e+02,1.157302655642708089e+01
1.341054849193382665e+02,1.190549253859595957e+01
1.366830516637955952e+02,1.224116804968597982e+01
1.392560988952835430e+02,1.260157224450692226e+01
1.418182029991634749e+02,1.302715087195900878e+01
1.443561476951644238e+02,1.356601849647334745e+01
1.468653267008471346e+02,1.422263347831967906e+01
1.493677193231282274e+02,1.489789787937987064e+01
1.518804062071810961e+02,1.552780896547058376e+01
1.543729951429013738e+02,1.623393465066076047e+01
1.568116026432602439e+02,1.710789725405571460e+01
1.590716393902034156e+02,1.836546768102030924e+01
1.613586929745659688e+02,1.957438461516163741e+01
1.638417716830846587e+02,2.028024711412859560e+01
1.664089300161192000e+02,2.051086851749523277e+01
1.689884811048351310e+02,2.046546721306747685e+01
1.715668215973641111e+02,2.039850510531472594e+01
1.741496103085212326e+02,2.039484549785131762e+01
1.767315527810776246e+02,2.049586932209952295e+01
1.793057337134165437e+02,2.072122298027277054e+01
1.818604240522804218e+02,2.110905032319795893e+01
1.843924479912011805e+02,2.162430819789281244e+01
1.869304390256834552e+02,2.211015599572427703e+01
1.894936963200360651e+02,2.243406552795669029e+01
1.920687978398050859e+02,2.264541962856764101e+01
1.946457465347619973e+02,2.283293480061661285e+01
1.972185003663607574e+02,2.307199202517609393e+01
1.997782888807374775e+02,2.341919589929758061e+01
2.023173078672153906e+02,2.389462934401574756e+01
2.048391174240896930e+02,2.445143314427320647e+01
2.073658452916276929e+02,2.498547785279511046e+01
2.099155592394572523e+02,2.539493400830178160e+01
2.124819673948165359e+02,2.568170087501194487e+01
2.150520143394925299e+02,2.592690435259680370e+01
2.176174480484682192e+02,2.621286201144028638e+01
2.201683092625535210e+02,2.660644977677674916e+01
2.226968151575960633e+02,2.712482339604130033e+01
2.252058293252638634e+02,2.773016904427258211e+01
2.277336876984652179e+02,2.825077241906292969e+01
2.302899136208740742e+02,2.860690215196816411e+01
2.328581513334912358e+02,2.886160090716721172e+01
2.354300310897558575e+02,2.907673707270890873e+01
2.380055691410134671e+02,2.924460818089461611e+01
2.405837626220893526e+02,2.937456277733694421e+01
2.431598836615753783e+02,2.954001499948887854e+01
2.457105195522685221e+02,2.993746661259348585e+01
2.482098327467675745e+02,3.058257426997573702e+01
2.507025440898884199e+02,3.125325913364594399e+01
2.532073378886412058e+02,3.187615922411924174e+01
2.557124546722426430e+02,3.249761365569467131e+01
2.582260809579138936e+02,3.308288952103168867e+01
2.607667712423685771e+02,3.353621032377031952e+01
2.633273643634993277e+02,3.386222010380651426e+01
2.658965847924889090e+02,3.411173032796175875e+01
2.684625107139482907e+02,3.439073119883052243e+01
2.709894793480593194e+02,3.491914645495812408e+01
2.734212726236625599e+02,3.578629120552632514e+01
2.758752205635792620e+02,3.658876674440864463e+01
2.784182076928570950e+02,3.703589187913897973e+01
2.810000000000000000e+02,3.700000000000000000e+01
