Q20,Q30
2.400000000000000000e+01,0.000000000000000000e+00
2.661719229717677848e+01,-1.881735510569519654e-02
2.921238398471085063e+01,-7.009139984173601290e-03
3.179648391096479898e+01,-3.625292383712267613e-02
3.438256312464130815e+01,-1.809517335027321233e-02
3.696783610775256790e+01,-2.205582466169258432e-02
3.955357696759892150e+01,-2.019434300709769745e-02
4.213944616057492709e+01,-1.604329647745854348e-02
4.472642409083977100e+01,-2.711025767791213140e-02
4.731273886808942564e+01,-2.411795885648669244e-02
4.990076011266557998e+01,-2.802657390240156920e-02
5.249022720435127098e+01,-2.681996133643592753e-02
5.507731369949055278e+01,9.141201503613310617e-03
5.766449522658641058e+01,3.975026927276243544e-02
6.025174892244610447e+01,8.073155709558989257e-02
6.283889393956508229e+01,1.268920874144125188e-01
6.542616115338948646e+01,1.865117354724595278e-01
6.801305258590765845e+01,2.625679884758475580e-01
7.059969025649361640e+01,3.478114571313972725e-01
7.318635418493674649e+01,4.358688374539667065e-01
7.577253841682474444e+01,5.354095978896533659e-01
7.835688564056144401e+01,6.739920059039926636e-01
8.093573007920704754e+01,8.871854377056122010e-01
8.350444966541765268e+01,1.198846002039916092e+00
8.605905611912517372e+01,1.610730763720931602e+00
8.859749401297980853e+01,2.110860928622930288e+00
9.112047138895202636e+01,2.682799933844290496e+00
9.362968653854349554e+01,3.306833754708848883e+00
9.613026309144966319e+01,3.963487394104735273e+00
9.862673070705808698e+01,4.634548505730014867e+00
1.011226169542938464e+02,5.305757017723076174e+00
1.036190700811480241e+02,5.965225107486464395e+00
1.061207086113885936e+02,6.604469660711463241e+00
1.086288129393135051e+02,7.215960059810221594e+00
1.111434968179848397e+02,7.796181484793547334e+00
1.136659099115207141e+02,8.342112653282924839e+00
1.161944590479090209e+02,8.850333350278836164e+00
1.187288373789693310e+02,9.326566073285471603e+00
1.212656862900983725e+02,9.785324632778999998e+00
1.238036232817540707e+02,1.023449890206829238e+01
1.263430635548915717e+02,1.067147219188889729e+01
1.288846568744999388e+02,1.109293057355080769e+01
1.314277924981988974e+02,1.150264946349912165e+01
1.339705009252899686e+02,1.191102440018770814e+01
1.365112871142769109e+02,1.233064462432303365e+01
1.390478451230576979e+02,1.277083402037989224e+01
1.415802590797729579e+02,1.323461393361712979e+01
1.441079014315698430e+02,1.372010637257985977e+01
1.466319369335824092e+02,1.422398383445757375e+01
1.491523726145623243e+02,1.474416303501652514e+01
1.516694067746507812e+02,1.527952091953022062e+01
1.541846997589809973e+02,1.582265296612494865e+01
1.567015264699215606e+02,1.635801998584507189e+01
1.592231507371210171e+02,1.686932202439849604e+01
1.617508308003793616e+02,1.734916042805784642e+01
1.642832092022544828e+02,1.780348580686225546e+01
1.668170606167632570e+02,1.824895298732373661e+01
1.693495936203881058e+02,1.870112588397511288e+01
1.718817366740433954e+02,1.915536129253185038e+01
1.744168871709786970e+02,1.959213431932161242e+01
1.769582202335799934e+02,1.999120375146086914e+01
1.795061745472642372e+02,2.034538009687484461e+01
1.820588180566050198e+02,2.066397816393964959e+01
1.846133478935639971e+02,2.096721657652136983e+01
1.871666677351336432e+02,2.128095634507345579e+01
1.897164960942011476e+02,2.162214951295924692e+01
1.922632544404336272e+02,2.198554354163504243e+01
1.948097154278229084e+02,2.235267546955589424e+01
1.973584775605719130e+02,2.270321336287555525e+01
1.999115653354251378e+02,2.302282052170106397e+01
2.024686823952786483e+02,2.330862670933069936e+01
2.050283753592274536e+02,2.357211850324487656e+01
2.075884481860881579e+02,2.383461385450829439e+01
2.101461246193358079e+02,2.411970003859216760e+01
2.126994447578813947e+02,2.444358648470673145e+01
2.152480948851342362e+02,2.480234305617643287e+01
2.177938897645101122e+02,2.518176444394360303e+01
2.203378116385870555e+02,2.557467491788273506e+01
2.228783854855855111e+02,2.598924400064243656e+01
2.254118506433736968e+02,2.644575271966791874e+01
2.279335362823580908e+02,2.696424360587537450e+01
2.304416664759753530e+02,2.754467656592891345e+01
2.329455963859953158e+02,2.814380418796648087e+01
2.354579566801368458e+02,2.870648345147438008e+01
2.379831019501676792e+02,2.920908592966809181e+01
2.405171979625184235e+02,2.966503053493792308e+01
2.430515688675010040e+02,3.011951412564431507e+01
2.455768005726332319e+02,3.062296613957151337e+01
2.480946551921481387e+02,3.116205930534052015e+01
2.506164447828568598e+02,3.168302002498478487e+01
2.531485867553831781e+02,3.215105843466773194e+01
2.556882648154291928e+02,3.257687481199688051e+01
2.582279484797923601e+02,3.300273667082088025e+01
2.607616220843793258e+02,3.346334506064850700e+01
2.632944194608210182e+02,3.392872310793805468e+01
2.658369328099974496e+02,3.433789062209745424e+01
2.683870415697070371e+02,3.469676884083210666e+01
2.709250862964466364e+02,3.513301070207135268e+01
2.734171089236644434e+02,3.578247235524094094e+01
2.758922794413701922e+02,3.649353396749535250e+01
2.784250298244045894e+02,3.695964613094938045e+01
2.810000000000000000e+02,3.700000000000000000e+01
