Q20,Q30
2.400000000000000000e+01,0.000000000000000000e+00
2.640696642253369575e+01,-4.857773504448513469e-03
2.887544493438012694e+01,-1.778590673126878574e-02
3.142546782040354714e+01,-8.912277077097838229e-03
3.397815378997433555e+01,-6.627695474748715454e-03
3.656365108789970719e+01,-3.050323373573579633e-02
3.916572523473820411e+01,-6.624628351071804033e-03
4.179368028853834716e+01,-2.696082823479280591e-02
4.442269549184511135e+01,-2.723510238960370755e-02
4.708211846672902112e+01,-8.901784177029879730e-03
4.975213788962608419e+01,-7.721580316149105616e-03
5.242482327217373950e+01,-3.234590346096558738e-02
5.505517462767920023e+01,-9.439012239955135719e-03
5.767791582847567611e+01,1.536941646698847946e-02
6.028391040812164192e+01,6.701230776873762229e-02
6.288853397296035297e+01,9.774320076862440254e-02
6.548570722865456162e+01,1.499373050149635511e-01
6.808183470785155578e+01,2.415985155717661481e-01
7.067821781501618261e+01,3.407355867065184896e-01
7.327785394196166635e+01,3.958549467775477892e-01
7.587830140385884192e+01,3.736355876273204091e-01
7.848049315435656581e+01,2.902349400126873480e-01
8.108276674136163820e+01,2.031881197984093945e-01
8.368809248814260116e+01,2.038453819485567253e-01
8.628878141783661704e+01,3.591667335272429318e-01
8.885845445298095058e+01,7.912617838795522607e-01
9.131939605574444840e+01,1.647525264678941781e+00
9.369147615758700454e+01,2.724153001034539390e+00
9.609308869039396939e+01,3.731587878212434095e+00
9.854595589100036079e+01,4.605401572064520721e+00
1.010228544476037058e+02,5.398441557623653964e+00
1.035097129830541434e+02,6.159848526452440076e+00
1.060060729520748026e+02,6.879553529345579399e+00
1.085175314554640096e+02,7.532686891400466322e+00
1.110359875002379226e+02,8.150931411127642079e+00
1.135681418241957346e+02,8.701191561224050020e+00
1.161239085126502601e+02,9.119085919992082623e+00
1.186863348377824963e+02,9.475211124350533254e+00
1.212418903455242258e+02,9.869903138587268643e+00
1.237829680802018402e+02,1.033133283074534603e+01
1.263251791484580764e+02,1.078385072708824666e+01
1.288756691036185202e+02,1.117251638380502676e+01
1.314320086411935335e+02,1.151660984947697841e+01
1.339876225881587857e+02,1.185587967758233319e+01
1.365392658262429677e+02,1.221439568458005631e+01
1.390831963746742304e+02,1.262221307421676109e+01
1.416166627918339032e+02,1.308585257920258194e+01
1.441418381552903440e+02,1.359079130297633320e+01
1.466637818814063223e+02,1.410919754432962137e+01
1.491839949958500995e+02,1.463591089977453485e+01
1.516917372284006547e+02,1.521713306156326517e+01
1.541827429461139047e+02,1.586606706394617028e+01
1.566788305904312324e+02,1.649430172353469715e+01
1.591975011943654579e+02,1.702482005041969160e+01
1.617343426197619181e+02,1.745929404442973976e+01
1.642796386916041911e+02,1.784060789001764746e+01
1.668242667548753388e+02,1.822622860233423836e+01
1.693553211919522425e+02,1.869274317642181416e+01
1.718741877809563334e+02,1.922101023609487669e+01
1.743999059157212912e+02,1.971546076976884621e+01
1.769424126083223996e+02,2.011519853011699510e+01
1.794966942226384106e+02,2.043099009168762237e+01
1.820565578349118141e+02,2.069840985461289762e+01
1.846186850719923598e+02,2.094591187352623507e+01
1.871789597676463757e+02,2.121219053443112657e+01
1.897303186245795246e+02,2.155407931044952363e+01
1.922707726241297905e+02,2.197275633130992745e+01
1.948077296814366548e+02,2.241189405365118503e+01
1.973523359287319181e+02,2.280762445598643851e+01
1.999077974089795191e+02,2.312767745842080203e+01
2.024715498544430545e+02,2.337336004922743982e+01
2.050399400397056411e+02,2.357553672818671231e+01
2.076090796492877644e+02,2.377261658954649448e+01
2.101757121141454547e+02,2.400341935678904193e+01
2.127343369987648600e+02,2.431314617374385989e+01
2.152819224876229782e+02,2.471378113616304972e+01
2.178285356771589818e+02,2.512295859560399336e+01
2.203836283441681871e+02,2.548044408923987447e+01
2.229433196651368689e+02,2.580882271958864393e+01
2.254993843472248329e+02,2.617154260553372680e+01
2.280355622603958352e+02,2.665596814006166682e+01
2.305017005673128949e+02,2.742517719188176173e+01
2.329347432539987039e+02,2.829645393648184992e+01
2.354432858843893257e+02,2.891712499326484220e+01
2.379914422165748817e+02,2.935446358532427169e+01
2.405574513814225952e+02,2.968513507537829099e+01
2.431315940676916512e+02,2.996017110878362288e+01
2.456763182185420646e+02,3.043408744779808117e+01
2.481428682976597315e+02,3.122317786361477943e+01
2.506540287865498726e+02,3.186418724201890385e+01
2.532110535072243920e+02,3.228645430686595574e+01
2.557851667215497571e+02,3.259931571905568859e+01
2.583619582784330646e+02,3.291088066797428269e+01
2.608984324845833953e+02,3.346148995863496367e+01
2.634101881188183825e+02,3.411700411917539810e+01
2.659806258725475914e+02,3.448841562079397249e+01
2.685754482008580908e+02,3.460413526029632436e+01
2.711697302165168821e+02,3.475280410332283054e+01
2.735680968005927411e+02,3.575413856000705692e+01
2.758815182192540192e+02,3.693868888585915755e+01
2.784351670370352849e+02,3.742375875709495148e+01
2.810000000000000000e+02,3.700000000000000000e+01
