Q20,Q30
2.600000000000000000e+01,0.000000000000000000e+00
2.871665506400100654e+01,1.540686572195675008e-01
3.144148154243362114e+01,1.387686483063289566e-01
3.417340964563938144e+01,4.668942245756506869e-03
3.690695226958992237e+01,1.790850632524965819e-02
3.963548817342199015e+01,7.947183767693405398e-02
4.236306378585499743e+01,4.953712222464322357e-02
4.509145835515160172e+01,3.604080205920744129e-02
4.781855820907997412e+01,3.880405007362971309e-02
5.054881869110991488e+01,1.213229715926198229e-02
5.327613009573908442e+01,1.035208937544502966e-01
5.600743637792559326e+01,1.166526453666162089e-01
5.873112973268878534e+01,5.041621179147699056e-02
6.144313439458322534e+01,3.809822985317319888e-01
6.413880809978294906e+01,7.588827135977468386e-01
6.686970155522979553e+01,9.300736213898234128e-01
6.958930760042815677e+01,8.956105338123142579e-01
7.232215435779245638e+01,8.062114332637433378e-01
7.504026642860472407e+01,7.766358589582298411e-01
7.777222983559713043e+01,8.560821297288001563e-01
8.048656125585944210e+01,1.043530102803451598e+00
8.320078665589122124e+01,1.346935285184221343e+00
8.588985685025069472e+01,1.777574874175221309e+00
8.857083767101494232e+01,2.283472803145274899e+00
9.124712477426567148e+01,2.800832999305390203e+00
9.392049166394023985e+01,3.332538039514222117e+00
9.659271508220386693e+01,3.887017992792015875e+00
9.925316725478153046e+01,4.468137646606041180e+00
1.019227382147882253e+02,5.053471303662393943e+00
1.045809609621041147e+02,5.627925543845911704e+00
1.072561859176356904e+02,6.205981283175056262e+00
1.098984682213101962e+02,6.831117020190645484e+00
1.125689256382455881e+02,7.447355359014358633e+00
1.152091894982236084e+02,8.064073317889743464e+00
1.178798861166731911e+02,8.693211548836343283e+00
1.205139116767501406e+02,9.325805079112667428e+00
1.232018670304630632e+02,9.886393455696381949e+00
1.258665591926532983e+02,1.036916768837460801e+01
1.285756132299418084e+02,1.082088191177379777e+01
1.312550240307543845e+02,1.121377183119837717e+01
1.339700299144708140e+02,1.162695562484996437e+01
1.366482791355257405e+02,1.202899986173947688e+01
1.393585849378281409e+02,1.247044446068761125e+01
1.420224662574558181e+02,1.296174564532214468e+01
1.447094175814119694e+02,1.352851251832762181e+01
1.473426234734709510e+02,1.416467887123222269e+01
1.500185839620706929e+02,1.478142921255435382e+01
1.526781642912376071e+02,1.529506595246601108e+01
1.553786581621033065e+02,1.579361493665860827e+01
1.580234581422920428e+02,1.637809320700698024e+01
1.606603187083381101e+02,1.714585273262614251e+01
1.632227325193165655e+02,1.802414914703254567e+01
1.658421811854852876e+02,1.884995605331282320e+01
1.684859392270971057e+02,1.944117270171640399e+01
1.712084677032939055e+02,1.980067074464202292e+01
1.739084455099986997e+02,2.002390121888314312e+01
1.766470540788467929e+02,2.022588041317685281e+01
1.793461901899619306e+02,2.046300295445258399e+01
1.820699436285880211e+02,2.081210598441134252e+01
1.847460899704948645e+02,2.123951815463454196e+01
1.874600007215665300e+02,2.165783649804377475e+01
1.901489569549167697e+02,2.199633914359207409e+01
1.928788442680193214e+02,2.229248081937705450e+01
1.955710080427308810e+02,2.260610492869009391e+01
1.982861500377398727e+02,2.301773293912355811e+01
2.009547584589259088e+02,2.349310375248537852e+01
2.036406468769630749e+02,2.406831805376141276e+01
2.062870347122949397e+02,2.465355366024307671e+01
2.089964067492269635e+02,2.510441460803369651e+01
2.116869614464584402e+02,2.542876151704971122e+01
2.144305388439227045e+02,2.555013890568564250e+01
2.171397118365048868e+02,2.545149197367236837e+01
2.198823850569013132e+02,2.533411564748070433e+01
2.225911067637180167e+02,2.549355238186768347e+01
2.252492343977973803e+02,2.616836264746648055e+01
2.278583703660759738e+02,2.692499288335132590e+01
2.305253374929008316e+02,2.754497552390166604e+01
2.332107959408521651e+02,2.798451359702980668e+01
2.359332361569992429e+02,2.822237396455421887e+01
2.386589030873012121e+02,2.831312291840811923e+01
2.413849371943397273e+02,2.823193415024102748e+01
2.441117776479677559e+02,2.804808403484107160e+01
2.468283187583874394e+02,2.788065903079400343e+01
2.495663985604095103e+02,2.784208758499070768e+01
2.522800870422747153e+02,2.797700688289945248e+01
2.549961056183698531e+02,2.835666076972750815e+01
2.576473996252314578e+02,2.893509462522369091e+01
2.603053789647833582e+02,2.962139095764644026e+01
2.629274520192111595e+02,3.031298616667765700e+01
2.656066285547008761e+02,3.091697706493596698e+01
2.682709051413459065e+02,3.141982928659552599e+01
2.709882807354118768e+02,3.181774358910936229e+01
2.736839549786025145e+02,3.211404423963048771e+01
2.764241418400233101e+02,3.228094089718158699e+01
2.791374406915479653e+02,3.225023585228671408e+01
2.818772673743314385e+02,3.211420182079106667e+01
2.845922173974724956e+02,3.219529106114072903e+01
2.873099803892882278e+02,3.254303182418232865e+01
2.900093541910535464e+02,3.287815658983659972e+01
2.927418018947924452e+02,3.275195384670301735e+01
2.953763292572913315e+02,3.205549753243062128e+01
2.980000000000000000e+02,3.130000000000000071e+01
