Q20,Q30
8.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.898559815226261094e+01,1.652608155988578020e-01,2.352577330498753394e+00
9.219087819753953283e+01,6.855948112969331154e-01,4.339294851062551750e+00
9.577633558594155261e+01,1.296157033211094767e+00,5.394827461254141809e+00
9.888480681300804065e+01,1.969155049286251735e+00,3.442071940365638572e+00
1.006315394804771728e+02,2.338547823193569020e+00,2.056919076438940008e-01
1.041050988769490289e+02,3.518695975450763402e+00,7.014308220459009036e-01
1.077180641923277449e+02,4.464228202080447794e+00,9.376327237934900527e-01
1.098219615680814059e+02,4.992881340364632159e+00,3.965030807875079333e+00
1.134589695581213249e+02,5.849237349995826563e+00,4.305224631909583266e+00
1.171142599835824569e+02,6.648931842122212110e+00,4.736340378106440596e+00
1.207475199014082108e+02,7.310150537035145391e+00,4.485975951598924816e+00
1.241166779238039766e+02,7.986807488342376082e+00,4.046007240501655389e+00
1.268499562759153605e+02,8.544384749605207219e+00,1.932648039259397210e+00
1.298500201694115788e+02,8.855331715526348901e+00,3.489349815982497049e-01
1.331624817205284046e+02,9.448496931641143348e+00,2.245452667196674024e-01
1.363545323903075825e+02,1.003786129767597224e+01,9.743174983868387873e-01
1.395707379473797687e+02,1.057242837361823184e+01,1.543292900328698813e+00
1.427652083905255154e+02,1.110877359090616778e+01,1.282842700475798514e+00
1.459682503543384371e+02,1.156541354323614890e+01,9.265010511268613191e-01
1.492162733135301664e+02,1.195963630917362686e+01,9.281356977767144523e-01
1.523900065831577422e+02,1.235645007030255549e+01,1.078650456209939934e+00
1.555205715259049271e+02,1.277894444747390956e+01,1.412699185342866759e+00
1.586000511012592540e+02,1.317902772743225626e+01,7.039989666015682435e-01
1.616574661999919726e+02,1.365701789610737826e+01,8.704958688246885457e-01
1.645736349230183180e+02,1.413618523415882677e+01,8.754856007959728181e-01
1.674770414204649001e+02,1.465462867369337374e+01,9.054908743674228155e-01
1.703391511902162563e+02,1.518433224866675246e+01,9.396899367953956972e-01
1.731446162236177031e+02,1.575541012004309316e+01,9.756567714040195183e-01
1.758815077160374756e+02,1.636459917249553797e+01,1.043729296740478318e+00
1.785950496401446230e+02,1.706448502637105946e+01,1.104024980934816824e+00
1.812495361871641251e+02,1.800000059657831031e+01,1.065829860009694263e+00
