Q20,Q30
8.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.609103494169858095e+01,5.287228591962078034e-04,1.522349218248248981e+00
8.577732439822817412e+01,4.889048594635537863e-04,3.011069944560282430e+00
8.593299884793810861e+01,5.610900828614077138e-04,4.514930152441703370e+00
8.638444273146495789e+01,7.801800614559114330e-04,5.938100358106403576e+00
8.682246477178522071e+01,6.651702281300945433e-04,7.329026427321998938e+00
8.755248526309681267e+01,1.277249243359660381e-03,8.547612602841812901e+00
8.851369866179803125e+01,1.881837698788444780e-03,9.548234760800923482e+00
8.960285078553508242e+01,2.087994253022728772e-03,1.038111144903911409e+01
9.078490643382284020e+01,2.056565452531431814e-03,1.106649705453151711e+01
9.202429883429027768e+01,1.342642895704089468e-03,1.162294090585370832e+01
9.324778864634565423e+01,8.142910174631003140e-02,1.205617663554733809e+01
9.444524626031800096e+01,2.961194331017517056e-01,1.240939072438466084e+01
9.560266911408797341e+01,6.116407453955533535e-01,1.269852775515105137e+01
9.671889080748617573e+01,9.882462714610288357e-01,1.294127828845184069e+01
9.780816641623101759e+01,1.396449846956830720e+00,1.315230600960846097e+01
9.885168698303394308e+01,1.820956381737328655e+00,1.333859094361932307e+01
9.984691795008211557e+01,2.228847132540431986e+00,1.350708788747468958e+01
1.008151306768727409e+02,2.629429527600606331e+00,1.366708453843294002e+01
1.017542143423177237e+02,2.999845781353020602e+00,1.381985583091672254e+01
1.026523545822259962e+02,3.354920728394074292e+00,1.396263827701041649e+01
1.035149248058597209e+02,3.690316563083490209e+00,1.409347143866901853e+01
1.043588676214468478e+02,4.000159054764621303e+00,1.421530704583868499e+01
1.051811167194613716e+02,4.290405613978369281e+00,1.432704021264163252e+01
1.059897390569624491e+02,4.580078470182572303e+00,1.442892590576970413e+01
1.068076191554721106e+02,4.871708962960788369e+00,1.452387481008051751e+01
1.076395329605897757e+02,5.160449661075337424e+00,1.461163722864557712e+01
1.084808290531314157e+02,5.449201245099039248e+00,1.469051144264261666e+01
1.093222048667205968e+02,5.727440324590120646e+00,1.476048796958874831e+01
1.101742946115175243e+02,5.992145717130198612e+00,1.482379536679554377e+01
1.110706682342477194e+02,6.242377095088398775e+00,1.488369498809809421e+01
