Q20,Q30
8.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.740428857746867664e+01,3.100260415038352813e-02,7.166501041779305137e-02
8.880355753235372163e+01,1.752989664637255238e-02,6.092496982183123050e-02
9.021516305003122227e+01,8.951675446357072047e-03,2.945805893513448945e-02
9.161811092050578509e+01,2.091945720254672313e-03,8.343341855058139522e-03
9.303500123057726512e+01,7.765678711128064238e-02,1.173611428441817176e-04
9.443124493200868130e+01,2.457842973718209201e-01,3.313009806129808745e-04
9.583003659189358814e+01,4.761638845867201542e-01,4.344972479323051633e-05
9.721330355277476087e+01,7.330678555162382093e-01,5.147014062286222507e-05
9.860327054025742655e+01,1.000091251086132171e+00,3.842100458953134109e-05
9.997427102364699181e+01,1.313166101539793296e+00,8.418685150420114919e-04
1.013474006312484477e+02,1.656832583473544007e+00,1.166403135768978409e-03
1.027068575320034114e+02,2.009446075943599919e+00,3.234689169828979666e-04
1.040699457038797249e+02,2.388496881480262068e+00,1.517216092276040538e-04
1.054202101533986564e+02,2.776394681060474046e+00,1.044291245622656255e-05
1.067764050426812474e+02,3.170859292552198561e+00,1.959612470117888744e-04
1.081251149895478960e+02,3.579537871809412408e+00,1.446844916318244237e-03
1.094714176770065848e+02,3.995246345781283903e+00,3.057884032836144256e-03
1.108227143563989898e+02,4.409911234136703939e+00,5.735456839999755405e-03
1.121651753912976801e+02,4.827863265112032565e+00,9.146712775714431476e-03
1.135208514093511241e+02,5.231629782295993181e+00,1.254802391826083038e-02
1.148670251746165292e+02,5.634299212931106027e+00,1.658764316153464938e-02
1.162230967146941794e+02,6.032400949897981590e+00,2.124994854285849888e-02
1.175710781593003560e+02,6.431191881429492163e+00,2.555807092054989543e-02
1.189266277935875422e+02,6.826199217204271363e+00,2.877472530657123814e-02
1.202807189718637915e+02,7.205286391723953798e+00,3.070950473622845178e-02
1.216401729808184626e+02,7.584245482123282756e+00,3.172868005412431830e-02
1.229982666380146696e+02,7.948794842474398159e+00,3.229913962994637733e-02
1.243670299887732256e+02,8.291099265635693882e+00,3.197487210044117761e-02
1.257331989627056572e+02,8.626302821974677570e+00,3.241773295850189363e-02
1.271069345941782700e+02,8.943625909386179629e+00,3.371116121217852118e-02
1.284853942460522092e+02,9.230217236519607127e+00,3.568403156655500230e-02
1.298647381310083802e+02,9.513916879414132666e+00,3.763799702635117067e-02
1.312481668486413184e+02,9.782282921109908713e+00,3.916123917485395123e-02
1.326338286066659009e+02,1.002471857248725584e+01,4.012566698496750073e-02
1.340203365210598179e+02,1.027972554569229047e+01,4.089852918222444678e-02
1.354032933427186265e+02,1.053332729740294305e+01,4.181253485148400673e-02
1.367918671165433011e+02,1.077561464675319236e+01,4.277757109498340343e-02
1.381797955214313163e+02,1.099999601581863473e+01,4.358508491901714327e-02
1.395760833813462227e+02,1.119033715158412079e+01,4.491603767437366002e-02
1.409662540659841454e+02,1.139857539046594681e+01,4.667455037273317286e-02
1.423595916055843134e+02,1.160969798117838714e+01,4.771525580049366250e-02
1.437496030511256890e+02,1.181390192025340014e+01,4.885047084188068323e-02
1.451473879214891838e+02,1.199642123946389916e+01,5.053549989421889793e-02
1.465403495314411373e+02,1.217315775798790156e+01,5.207420106731419640e-02
1.479355515041355602e+02,1.237481022539231112e+01,5.369039768441087601e-02
1.493231616199984444e+02,1.259003720522634140e+01,5.595768929584155060e-02
1.507156802189567770e+02,1.280390118266015520e+01,5.939700430446356177e-02
1.521067168432116148e+02,1.300059928560247258e+01,6.329882771949289777e-02
1.535031554540724414e+02,1.317876151278802510e+01,6.666725146046073580e-02
1.548924500355369105e+02,1.338962922052947491e+01,6.908982081052460200e-02
1.562820173585716930e+02,1.361579704789188661e+01,7.093731046696581666e-02
1.576690930910430950e+02,1.383345377393451514e+01,7.266005390510467399e-02
1.590663855056237708e+02,1.401847532518610961e+01,7.480331333320971998e-02
1.604487117594200356e+02,1.425168358057902118e+01,7.817915473219760880e-02
1.618356250102895331e+02,1.451128301571398893e+01,8.321660200440311739e-02
1.632129150630249512e+02,1.476774855541023967e+01,8.869759470913557431e-02
1.646041070328756177e+02,1.499767342537583659e+01,9.304853037298300988e-02
1.659892579633418279e+02,1.522254300808539895e+01,9.761766054018052030e-02
1.673707596918305285e+02,1.548308935194972591e+01,1.029829487022402845e-01
1.687528899174359367e+02,1.575368343773214441e+01,1.101297440907953035e-01
1.701316474659521418e+02,1.600007715967123900e+01,1.187451207463354336e-01
1.715296991242938134e+02,1.620331491227637599e+01,1.278234635469428504e-01
1.729036873045754703e+02,1.645874469065901025e+01,1.381670790960403961e-01
1.742901476721490610e+02,1.673582126136138726e+01,1.511156314691979030e-01
1.756659214581246431e+02,1.698302050088112125e+01,1.659489589526958186e-01
1.770683324852645057e+02,1.714555807171386448e+01,1.821249174342390587e-01
1.784446979338502786e+02,1.740201092989979159e+01,1.979203529268495354e-01
1.798230353927206693e+02,1.769386365629368996e+01,2.158578324416858540e-01
1.812020176191724943e+02,1.795295931824996671e+01,2.291302305315242593e-01
1.826093030242756754e+02,1.799395157034545534e+01,2.229131684595817564e-01
1.840000000000000000e+02,1.819999999999999929e+01,2.000000000000000111e-01
