x,y
1.699999999999999956e+00,-8.000000000000000444e-01
1.659548355981680379e+00,-8.004824888400018379e-01
1.619093985561419258e+00,-8.005966556762729169e-01
1.578639099988154770e+00,-8.004101205067720715e-01
1.538185105815246256e+00,-7.999857040846012346e-01
1.497733684516741492e+00,-7.993760607993878331e-01
1.457282312163132199e+00,-7.986227084589361258e-01
1.416833326743885735e+00,-7.977573730358586968e-01
1.376383998483837523e+00,-7.968036879756487112e-01
1.335935631935250001e+00,-7.957791809067177313e-01
1.295486455759005784e+00,-7.946966490600365640e-01
1.255036213266751854e+00,-7.935654386396795434e-01
1.214587512361141375e+00,-7.923923742564723538e-01
1.174137666564787574e+00,-7.911821749407054183e-01
1.133684701778030490e+00,-7.899380888966066605e-01
1.093231918038076067e+00,-7.886623949170717962e-01
1.052776288551217743e+00,-7.873562328906374974e-01
1.012319194990209503e+00,-7.860202169718382148e-01
9.718628351125621068e-01,-7.846544371467065737e-01
9.314031254955144057e-01,-7.832582890284557342e-01
8.909392988068799424e-01,-7.818308459751299733e-01
8.504768678818559469e-01,-7.803710381143477148e-01
8.100110853428296176e-01,-7.788770858985208934e-01
7.695432094145606694e-01,-7.773470759709656397e-01
7.290760590942877428e-01,-7.757788163303297457e-01
6.886053923891286566e-01,-7.741694865591929320e-01
6.481323618277248233e-01,-7.725160723890504011e-01
6.076619031590312359e-01,-7.708152848463006857e-01
5.671895382453704393e-01,-7.690629465302996071e-01
5.267144040861543308e-01,-7.672544210287149946e-01
4.862419026340162320e-01,-7.653846330114545404e-01
4.457681291491408238e-01,-7.634471904225784700e-01
4.052976845326038968e-01,-7.614349424345828732e-01
3.648270947007900555e-01,-7.593388183146801973e-01
3.243605046214491083e-01,-7.571479752520455797e-01
2.838973970646532230e-01,-7.548481263946826836e-01
2.434415836189141591e-01,-7.524198997930429123e-01
2.029938237041223892e-01,-7.498330824114515236e-01
1.625594055523770509e-01,-7.470263255934650459e-01
1.221634873011736011e-01,-7.436954970502998030e-01
8.253656360023599314e-02,-7.351687387959258135e-01
5.450021547360224539e-02,-7.058941958150812823e-01
3.100152371655661918e-02,-6.728650654967439637e-01
9.912413933948560976e-03,-6.382464449791269701e-01
-9.709567068073939392e-03,-6.027766738759131604e-01
-2.838146068067341418e-02,-5.668009568277324606e-01
-4.642785149930565847e-02,-5.305127154434288173e-01
-6.406846750804648383e-02,-4.940323562304057559e-01
-8.146755832437008182e-02,-4.574446113953837267e-01
-9.874761725846105398e-02,-4.208122228212831661e-01
-1.160135825677425792e-01,-3.841867677184100938e-01
-1.333528849941115479e-01,-3.476093384098237205e-01
-1.508413557635290281e-01,-3.111173142789411261e-01
-1.685465140571645870e-01,-2.747399617999697896e-01
-1.865390670424972586e-01,-2.385157228924827955e-01
-2.048710588145033484e-01,-2.024723289798008030e-01
-2.236078382703536316e-01,-1.666467872707703413e-01
-2.428051781258552533e-01,-1.310722871783413235e-01
-2.625159980359109135e-01,-9.578526379199546470e-02
-2.827998712448080987e-01,-6.082810717016034346e-02
-3.036963613485552660e-01,-2.623725238527136600e-02
-3.252693829121094948e-01,7.931603834978845358e-03
-3.475567119662769100e-01,4.163573756056140884e-02
-3.706041743624185480e-01,7.482111956449931378e-02
-3.944588313034982363e-01,1.074277838692222625e-01
-4.191550068794537842e-01,1.393977595049181173e-01
-4.447104732342606614e-01,1.706816610731780315e-01
-4.711576536203646026e-01,2.012117313930147644e-01
-4.985073509244014045e-01,2.309333090681952028e-01
-5.267569876659049521e-01,2.597989004090670573e-01
-5.559122254827240095e-01,2.877472238049968989e-01
-5.859448643444802318e-01,3.147495740319000146e-01
-6.168427319147746779e-01,3.407568759225839683e-01
-6.485598579746351122e-01,3.657600055107607107e-01
-6.810635653001936296e-01,3.897341801152054419e-01
-7.143081637185465516e-01,4.126740473994747194e-01
-7.482358492095552149e-01,4.345972288563382246e-01
-7.828045672643616504e-01,4.555017907317580605e-01
-8.179518148088703589e-01,4.754248079057386556e-01
-8.536259554247868087e-01,4.943953275102657141e-01
-8.897776017841025897e-01,5.124478013163120682e-01
-9.263539122684885108e-01,5.296309165309444067e-01
-9.633135568634862977e-01,5.459809006417497557e-01
-1.000610324769725334e+00,5.615577777426715711e-01
-1.038209316651767633e+00,5.764025797009878493e-01
-1.076070870959269232e+00,5.905670187421763195e-01
-1.114166618869664394e+00,6.040900108726076079e-01
-1.152465753047207775e+00,6.170292979894241858e-01
-1.190946002871936082e+00,6.294250357682763530e-01
-1.229582570540703967e+00,6.413310741095862300e-01
-1.268358209918612811e+00,6.527818940811260795e-01
-1.307253427896596820e+00,6.638269762324133794e-01
-1.346252381025149214e+00,6.745051295059324437e-01
-1.385340982139914301e+00,6.848566251129765137e-01
-1.424505860070202745e+00,6.949207518176455656e-01
-1.463735165446462316e+00,7.047357728613875549e-01
-1.503019758227370106e+00,7.143315379857991809e-01
-1.542349584034868659e+00,7.237438342513541345e-01
-1.581717769959613662e+00,7.329976264904057848e-01
-1.621117664965244121e+00,7.421172939268892987e-01
-1.660545639676722640e+00,7.511163514387879658e-01
-1.699999999999999956e+00,7.600000000000000089e-01
