Q20,Q30
1.699999999999999956e+00,-8.000000000000000444e-01
1.656013407616373057e+00,-8.005044087936128427e-01
1.612017446348181338e+00,-8.005805605771800781e-01
1.568021714446700798e+00,-8.003150671917453884e-01
1.524009670966533614e+00,-7.997859142405835398e-01
1.479989133961115533e+00,-7.990561994974153537e-01
1.435968456952307903e+00,-7.981741588671310561e-01
1.391898934933179621e+00,-7.971741911693496219e-01
1.347833501104197751e+00,-7.960830112715584495e-01
1.303741759040552450e+00,-7.949182637410406871e-01
1.259594509833917186e+00,-7.936921668661347518e-01
1.215446169283489919e+00,-7.924154180665486935e-01
1.171290313483738910e+00,-7.910940877533534366e-01
1.127059727338043382e+00,-7.897303856285947665e-01
1.082831804395336661e+00,-7.883292984988132801e-01
1.038562268776776820e+00,-7.868907616665032911e-01
9.942336663835872335e-01,-7.854146449060410706e-01
9.498923184936431952e-01,-7.839021323642614281e-01
9.054554619282794148e-01,-7.823494133084621938e-01
8.610322512160387687e-01,-7.807586902052439104e-01
8.165147480121599521e-01,-7.791240496607000354e-01
7.720011922829431716e-01,-7.774464372770929499e-01
7.273999602307479329e-01,-7.757193262696638891e-01
6.828019041740756023e-01,-7.739425102898999098e-01
6.381718149228819970e-01,-7.721104420415868530e-01
5.934508153721314017e-01,-7.702156970913166534e-01
5.487079258270950444e-01,-7.682553794924454893e-01
5.039551870207177320e-01,-7.662233717190596316e-01
4.591487039770315581e-01,-7.641098735586117074e-01
4.143478476772000652e-01,-7.619082993387493730e-01
3.695039855225223935e-01,-7.596049351055256249e-01
3.246600751148766006e-01,-7.571877869813760098e-01
2.797933993667922059e-01,-7.546375325496693653e-01
2.349283716499941943e-01,-7.519310781506358676e-01
1.900752296912352479e-01,-7.490340891615392405e-01
1.452220671924581152e-01,-7.458923277500941751e-01
1.003651464747191829e-01,-7.428076724156997823e-01
6.767742302688385669e-02,-7.117070080977286883e-01
4.413990746262656112e-02,-6.732322523036142758e-01
2.410224900807774254e-02,-6.328367041057250120e-01
5.958236607125784109e-03,-5.916150689066270729e-01
-1.105124533840412364e-02,-5.499837444270727627e-01
-2.735276591471571400e-02,-5.082037398948586748e-01
-4.314890917427110367e-02,-4.664293176669111474e-01
-5.867844821374627179e-02,-4.247834951562851069e-01
-7.402305497793751354e-02,-3.833575541917813578e-01
-8.931965791170472235e-02,-3.422193894543613113e-01
-1.046631314662428702e-01,-3.014103733426317655e-01
-1.200670755375762011e-01,-2.609906188525011883e-01
-1.356206887848125375e-01,-2.211839625553542465e-01
-1.514453046377333689e-01,-1.819049203846069551e-01
-1.675014319535376717e-01,-1.430760636562143362e-01
-1.838994250083955673e-01,-1.050822835964475149e-01
-2.005460855356746841e-01,-6.782149964142487886e-02
-2.176739407170565077e-01,-3.143866485589352777e-02
-2.350631140209621939e-01,4.057244065970195233e-03
-2.528219409537486029e-01,3.845573107783254591e-02
-2.710232296744193858e-01,7.187187296554423122e-02
-2.896944649189802656e-01,1.043083956686098879e-01
-3.087306522263189579e-01,1.356929000998944590e-01
-3.282709086535949838e-01,1.658612890052267863e-01
-3.482409343649771616e-01,1.948858311667638898e-01
-3.686784938964919878e-01,2.229078677727898139e-01
-3.897027523715650976e-01,2.498060040332610865e-01
-4.112512091364721178e-01,2.758586005597562507e-01
-4.336077842825967199e-01,3.007796707258175162e-01
-4.566042819043448220e-01,3.249628791188602928e-01
-4.807711370688740882e-01,3.482296247634644182e-01
-5.059622692981057268e-01,3.708084294896351607e-01
-5.320794539462834205e-01,3.928103416552802818e-01
-5.594085601891155557e-01,4.141906464993997949e-01
-5.879947837631592789e-01,4.347972514687356016e-01
-6.177857797854013899e-01,4.548247850298754447e-01
-6.489307234236730837e-01,4.740189180479121855e-01
-6.812909909641645667e-01,4.925398873195198091e-01
-7.144871196402426961e-01,5.102471517439808313e-01
-7.486076873283097344e-01,5.271790675262174597e-01
-7.836468816860880926e-01,5.434427420038672185e-01
-8.195723741586805611e-01,5.587630482027164947e-01
-8.562788369827224466e-01,5.733888256219643598e-01
-8.936952613429629544e-01,5.871572839068999183e-01
-9.316214052280240576e-01,6.002804967085061394e-01
-9.700244605796467523e-01,6.125858136113238039e-01
-1.008763740401270148e+00,6.241492245034324649e-01
-1.047680674880868024e+00,6.350982746562371384e-01
-1.086693048050042076e+00,6.453494218839511687e-01
-1.125694848992651043e+00,6.549532265318525059e-01
-1.164579189337744625e+00,6.640733676114819461e-01
-1.203493548267950963e+00,6.727922960703777155e-01
-1.242234452250354115e+00,6.810420926723695922e-01
-1.280922650127230389e+00,6.889392206687816600e-01
-1.319502758533640296e+00,6.965018199104863195e-01
-1.357921984856850228e+00,7.037139470921627282e-01
-1.396250313200788407e+00,7.106791274290025218e-01
-1.434467781917376783e+00,7.174032800684649880e-01
-1.472574493306813892e+00,7.239249050298230959e-01
-1.510620145951854232e+00,7.302803768475867319e-01
-1.548573404910777773e+00,7.364742976533572572e-01
-1.586465742166900617e+00,7.425234938248521654e-01
-1.624328714251189743e+00,7.484660839592685022e-01
-1.662161103615265478e+00,7.542857337453098276e-01
-1.699999999999999956e+00,7.600000000000000089e-01
