Q20,Q30
1.699999999999999956e+00,-8.000000000000000444e-01
1.662562183102982427e+00,-8.139973300317764338e-01
1.622675809851027884e+00,-8.114734355378514508e-01
1.582794856667592009e+00,-8.093509518500151545e-01
1.542903349279949321e+00,-8.074669444271960206e-01
1.503070363074852756e+00,-8.057448261750947971e-01
1.463236265827230431e+00,-8.041352606404275072e-01
1.423484194264146963e+00,-8.026115111229787935e-01
1.383762392539303221e+00,-8.011505599460790883e-01
1.344052609922333774e+00,-7.997361473090390804e-01
1.304426638385149939e+00,-7.983590899555471632e-01
1.264868794415911157e+00,-7.970093194810989878e-01
1.225393015170760380e+00,-7.956795065611422801e-01
1.185989254687788153e+00,-7.943627775376175260e-01
1.146658372532490811e+00,-7.930534978422046910e-01
1.107320551512448903e+00,-7.917439869694754551e-01
1.068163990030219557e+00,-7.904336824637896441e-01
1.029038183387466443e+00,-7.891139712974830633e-01
9.900099221854040676e-01,-7.877832576583793101e-01
9.510793763937628320e-01,-7.864378918191915480e-01
9.121340661652980186e-01,-7.850702569122750552e-01
8.732949673262321300e-01,-7.836809502385199133e-01
8.344607946164579459e-01,-7.822626079295860180e-01
7.956720074718676150e-01,-7.808128150745861085e-01
7.568917824225633861e-01,-7.793260854427186413e-01
7.181210041639599639e-01,-7.777982304737773855e-01
6.793159143979652370e-01,-7.762228864748739188e-01
6.404746885420242730e-01,-7.745945810500300954e-01
6.016132734869016341e-01,-7.729089880034790694e-01
5.626244265027524616e-01,-7.711547553066360194e-01
5.235131231925747031e-01,-7.693250672903724219e-01
4.843612491135969589e-01,-7.674164414811048829e-01
4.449030919669386686e-01,-7.654061500391489137e-01
4.054628838206576491e-01,-7.633012423058769258e-01
3.658210749873024858e-01,-7.610784484919618231e-01
3.257302882883134076e-01,-7.587080207359054862e-01
2.855675174994680710e-01,-7.561968625511580333e-01
2.449131788972159773e-01,-7.534967770360344597e-01
2.042209982627086751e-01,-7.506170574404120721e-01
1.632322301461456848e-01,-7.475071459561745124e-01
1.218453472851531022e-01,-7.441185150583898844e-01
8.147688505385540514e-02,-7.324726213946620712e-01
6.343407562484587592e-02,-6.943230062086096499e-01
5.302566838243161218e-02,-6.524227888113467433e-01
4.565439131098716907e-02,-6.096296949329659265e-01
3.971173371242863598e-02,-5.660627370955815252e-01
3.468997503635421614e-02,-5.223505789741876848e-01
3.008284511352275065e-02,-4.766779464670007349e-01
2.596211611842298358e-02,-4.310769660570301087e-01
2.213490644580659236e-02,-3.849438257208596115e-01
1.845139305508427738e-02,-3.373190378220685126e-01
1.498824072751775600e-02,-2.898083794998186358e-01
1.161286880082758495e-02,-2.412994619725074841e-01
8.330626870349291599e-03,-1.922450411356971256e-01
5.089132926939531759e-03,-1.423651438097846000e-01
1.924893395146893725e-03,-9.262819178700906764e-02
-1.268136105185147487e-03,-4.176100984283477591e-02
-4.435353944735567940e-03,8.986102540857509105e-03
-7.620650227326891332e-03,5.992187474923810903e-02
-1.091401689428825317e-02,1.116173473212624390e-01
-1.433973238592868744e-02,1.640685446988473517e-01
-1.792140074268201363e-02,2.170546139359909865e-01
-2.167801577333319449e-02,2.701171010190559496e-01
-2.567903898091347670e-02,3.233492322376491646e-01
-3.001391868721262762e-02,3.768287466089466631e-01
-3.482745109893780472e-02,4.306194638594480484e-01
-4.029504452744427784e-02,4.843342470436674541e-01
-4.684145572162815019e-02,5.383520643189066979e-01
-5.524699784413726611e-02,5.921525382782832914e-01
-6.799019170977067816e-02,6.451847476226857392e-01
-1.063741045188782430e-01,6.840057540431205840e-01
-1.608050230035530104e-01,6.887384821708081306e-01
-2.151288709019995860e-01,6.942032849030604913e-01
-2.694938698716501935e-01,6.990410940652214133e-01
-3.236848734856190291e-01,7.033772437634399077e-01
-3.777251792468365732e-01,7.073142441839959105e-01
-4.318007614758479495e-01,7.109328986250135207e-01
-4.855665480862916827e-01,7.142626751993599310e-01
-5.390535519877233117e-01,7.173524706547308449e-01
-5.925534805672372229e-01,7.202518142580720539e-01
-6.458154734257993690e-01,7.229756313476003449e-01
-6.987037264863357189e-01,7.255405191159993716e-01
-7.512662602936005518e-01,7.279720907533082652e-01
-8.038030926739243576e-01,7.303013782878481353e-01
-8.557792687625166428e-01,7.325205788848038191e-01
-9.076971349894392693e-01,7.346659657560358214e-01
-9.589787916439062032e-01,7.367266998826931257e-01
-1.010301719252175268e+00,7.387425584844161675e-01
-1.061158302556009181e+00,7.407047683733571919e-01
-1.111574258737904497e+00,7.426257263336234482e-01
-1.161556774558502703e+00,7.445166847288733347e-01
-1.211413464870210621e+00,7.464069927193413001e-01
-1.261173371360334139e+00,7.483111537651946366e-01
-1.310739852356377133e+00,7.502409090598485264e-01
-1.359798007764560612e+00,7.522017480723393046e-01
-1.408804337682185714e+00,7.542353122056285608e-01
-1.457792017835464637e+00,7.563757264191514063e-01
-1.506539778790337181e+00,7.586585143101890472e-01
-1.555172905603869449e+00,7.611621610218483047e-01
-1.603675192443127173e+00,7.640145557796798048e-01
-1.652102209331870464e+00,7.674989411058675826e-01
-1.699999999999999956e+00,7.600000000000000089e-01
