Q20,Q30
-1.699999999999999956e+00,7.900000000000000355e-01
-1.656445655525073501e+00,7.885396655869294502e-01
-1.612894979536275031e+00,7.869749308250021391e-01
-1.569347585733476214e+00,7.853438615402508205e-01
-1.525803019745732625e+00,7.836742704481657329e-01
-1.482260298677945620e+00,7.819845953035198249e-01
-1.438720414167280248e+00,7.802861586873798272e-01
-1.395180735323237942e+00,7.785850833042685659e-01
-1.351644730515233483e+00,7.768843588717734283e-01
-1.308111984767585279e+00,7.751846337733435677e-01
-1.264579287517999528e+00,7.734850398693090545e-01
-1.221052189832240176e+00,7.717841739353232811e-01
-1.177528203426982278e+00,7.700797463346634730e-01
-1.134011623448595962e+00,7.683693662894632848e-01
-1.090494791847889555e+00,7.666499264680090020e-01
-1.046986860454470758e+00,7.649187738413398829e-01
-1.003480215021760991e+00,7.631724589392177016e-01
-9.599787570207753973e-01,7.614078534331704118e-01
-9.164839002267068935e-01,7.596215771021285201e-01
-8.729902514217483533e-01,7.578098109522023451e-01
-8.295038911103462809e-01,7.559689966811108386e-01
-7.860212469233682775e-01,7.540949499660274391e-01
-7.425455907060755090e-01,7.521834743467937789e-01
-6.990741829185479483e-01,7.502297676429999784e-01
-6.556079388016994303e-01,7.482287415510008310e-01
-6.121463765289986148e-01,7.461747109809135914e-01
-5.686875035505580822e-01,7.440612450556046698e-01
-5.252318075759284666e-01,7.418811894594475875e-01
-4.817800052888711049e-01,7.396263267598093272e-01
-4.383254608544800424e-01,7.372866561340575275e-01
-3.948773530909234775e-01,7.348512158595339461e-01
-3.514342034767597989e-01,7.323058620281918119e-01
-3.079976259560417429e-01,7.296331317320995380e-01
-2.645591098946792896e-01,7.268094056651278612e-01
-2.211277005284158215e-01,7.238032084651813136e-01
-1.777044530559386826e-01,7.205663336709284827e-01
-1.342855319132243985e-01,7.170135123211748285e-01
-9.131005209722148352e-02,7.097985668745125931e-01
-7.497344536425661066e-02,6.572007191571513918e-01
-6.442732836226797155e-02,6.031387515796027277e-01
-5.604668332684032556e-02,5.486835900156518120e-01
-4.884410891179830766e-02,4.940557039085024527e-01
-4.239089754289287332e-02,4.393255963903276995e-01
-3.645396857840201010e-02,3.845219289767901061e-01
-3.089305541282104037e-02,3.296697659096404776e-01
-2.561270412941605429e-02,2.747933527544045296e-01
-2.054283732387959110e-02,2.198886711792502058e-01
-1.562920641339191410e-02,1.649526827810062490e-01
-1.082992493881726123e-02,1.100027587345906582e-01
-6.109241687789241856e-03,5.504580458834118506e-02
-1.433690349406696769e-03,6.573503829396024046e-05
3.225096245634381971e-03,-5.491568114458630911e-02
7.897295375792106123e-03,-1.099077618081386182e-01
1.261229046877517142e-02,-1.648987059511843878e-01
1.740278337988173524e-02,-2.198836993686225094e-01
2.230716267948995926e-02,-2.748703065861770600e-01
2.736927498299601344e-02,-3.298449115195924985e-01
3.264598571807812710e-02,-3.848006262609535155e-01
3.821288280764673778e-02,-4.397316417973822222e-01
4.417937977078637002e-02,-4.946201087205134295e-01
5.071651871562619929e-02,-5.494465572959683630e-01
5.812324681933404846e-02,-6.041624046848914631e-01
6.703031592898917035e-02,-6.586537623263319929e-01
8.819305553048216451e-02,-7.096450271943853805e-01
1.305718458274796601e-01,-7.158375072723033306e-01
1.732108325149803174e-01,-7.196814719144503103e-01
2.158885715724569720e-01,-7.230036515096703864e-01
2.585785337335925194e-01,-7.260412973624346122e-01
3.012671866136169552e-01,-7.288784970477387715e-01
3.439565479166502571e-01,-7.315568310614147807e-01
3.866281005852663100e-01,-7.341028428603249001e-01
4.293010017813035373e-01,-7.365369923683804387e-01
4.719689393060553795e-01,-7.388736286355030991e-01
5.145949143290208250e-01,-7.411226793436543892e-01
5.572257096341405314e-01,-7.432965516123215544e-01
5.998118154865674789e-01,-7.454009215322023874e-01
6.423734964495697586e-01,-7.474441737480570502e-01
6.849366925229568581e-01,-7.494338036988215102e-01
7.274907717572244303e-01,-7.513748983407072535e-01
7.700126817316343963e-01,-7.532713891245833571e-01
8.125078349548700007e-01,-7.551282814710654767e-01
8.549842884128364684e-01,-7.569501024202872630e-01
8.974398862450913006e-01,-7.587407121548869204e-01
9.398526084786467116e-01,-7.605028961569660906e-01
9.822402346450911370e-01,-7.622409338881668273e-01
1.024610628328905593e+00,-7.639584647656065819e-01
1.066985216597807318e+00,-7.656595029390947937e-01
1.109316736954822469e+00,-7.673451629153118514e-01
1.151630480767873665e+00,-7.690193727423080272e-01
1.193923771780222243e+00,-7.706847657253528272e-01
1.236175746277129672e+00,-7.723431011124546330e-01
1.278402066715643048e+00,-7.739973430248292541e-01
1.320632253620122931e+00,-7.756505818540956332e-01
1.362817598281831355e+00,-7.773022776483202723e-01
1.405001563729789016e+00,-7.789545923718136367e-01
1.447160082580506657e+00,-7.806055969306843201e-01
1.489318464538390785e+00,-7.822531229982500056e-01
1.531476008643053444e+00,-7.838905893693606242e-01
1.573606293478448048e+00,-7.855055539635984463e-01
1.615739141765073272e+00,-7.870810697270955725e-01
1.657870380349558026e+00,-7.885906820058844469e-01
1.699999999999999956e+00,-7.900000000000000355e-01
