Q20,Q30
-1.699999999999999956e+00,7.900000000000000355e-01
-1.656376298770607658e+00,7.916249967952736499e-01
-1.612821639087054670e+00,7.887143973080542603e-01
-1.569195133622557803e+00,7.862878726511534078e-01
-1.525552495870759806e+00,7.841449239246149894e-01
-1.481828721184574649e+00,7.821841158398764593e-01
-1.438090553491716550e+00,7.803523395741825963e-01
-1.394252939484338372e+00,7.786096492198253394e-01
-1.350407741030362541e+00,7.769346298810186902e-01
-1.306437859728560413e+00,7.753042246523854653e-01
-1.262471636458204483e+00,7.737088024106671957e-01
-1.218265839110269866e+00,7.721279883810926448e-01
-1.173956860352981080e+00,7.705569900327534638e-01
-1.129648128504973315e+00,7.689908348534719718e-01
-1.085137464825300935e+00,7.674134638327739788e-01
-1.040465889954326428e+00,7.658168967296041796e-01
-9.955834112866910335e-01,7.641931419521876823e-01
-9.506984198311086987e-01,7.625432253652424386e-01
-9.055109329421495712e-01,7.608492417016999854e-01
-8.603647497475022110e-01,7.591173262371253561e-01
-8.149129214613121119e-01,7.573265747204438458e-01
-7.694701227931354248e-01,7.554818596917873830e-01
-7.236798454582226148e-01,7.535597467813989203e-01
-6.778967524271299894e-01,7.515660836754498586e-01
-6.318191952427594238e-01,7.494770245181483492e-01
-5.857193408675704926e-01,7.472936263291520831e-01
-5.393256784007823823e-01,7.449892748436934831e-01
-4.929036156081653686e-01,7.425626471962993858e-01
-4.463448853596628796e-01,7.399908937699193334e-01
-3.996885046579415901e-01,7.372562040619522472e-01
-3.529913251112716255e-01,7.343379059529319131e-01
-3.061087700496676889e-01,7.311991358779459382e-01
-2.590932378309753759e-01,7.278028823106654777e-01
-2.119944718614771573e-01,7.241109693458053220e-01
-1.647896613820488965e-01,7.200582862575436449e-01
-1.174650194404187609e-01,7.156332545064043593e-01
-7.515006597015241874e-02,6.939678909187732003e-01
-5.959165990464953405e-02,6.488024978514713714e-01
-5.034088280892402151e-02,6.019544049966160104e-01
-4.343980868951485136e-02,5.545055232681335156e-01
-3.778111273039747031e-02,5.068116234260648945e-01
-3.290198151218408362e-02,4.589887518312955050e-01
-2.853577730714213986e-02,4.109399839590791026e-01
-2.455166312126962069e-02,3.628792640953480975e-01
-2.084031643190776759e-02,3.146891779937882050e-01
-1.733331939718960046e-02,2.663708647056219903e-01
-1.398750891828499932e-02,2.180260864244102648e-01
-1.075642935295129110e-02,1.695550138830627385e-01
-7.616177280500811830e-03,1.210792427977604030e-01
-4.535880735187658962e-03,7.254258248665033937e-02
-1.494640199675778287e-03,2.399445723177102627e-02
1.529559951296178329e-03,-2.455293825452351322e-02
4.571069141126808677e-03,-7.310057061050616312e-02
7.650370598788745237e-03,-1.216127982493101362e-01
1.079354641127427093e-02,-1.701202261917323655e-01
1.402266199175686984e-02,-2.185435866745178146e-01
1.737355310869354713e-02,-2.669369650115596682e-01
2.088018420332206707e-02,-3.152249259418942740e-01
2.459516871972402055e-02,-3.634234622149092320e-01
2.858897112672481242e-02,-4.115533526864342817e-01
3.295257052420864918e-02,-4.595192561991908176e-01
3.784455301614639278e-02,-5.073897333012855615e-01
4.351445201804032825e-02,-5.550981131920353917e-01
5.042656519686269934e-02,-6.024652692028823475e-01
5.973132068683060375e-02,-6.493749675686136813e-01
7.538301940210313801e-02,-6.944082577234248488e-01
1.179694469127962331e-01,-7.156376546740869093e-01
1.653501781510356705e-01,-7.201083405113145597e-01
2.126554963448068492e-01,-7.241651294024493701e-01
2.597405744338889821e-01,-7.278510477390270905e-01
3.068771800356129287e-01,-7.312505240475354329e-01
3.537047697514065225e-01,-7.343831181103570582e-01
4.005974569166209642e-01,-7.373107735824074860e-01
4.471508160279696331e-01,-7.400367757184677098e-01
4.937214754454160026e-01,-7.426071799759731418e-01
5.399001651112851352e-01,-7.450178534916049866e-01
5.861300575843534366e-01,-7.473134253702601315e-01
6.322609798525817837e-01,-7.494980888013282883e-01
6.781765110278148434e-01,-7.515784111484681285e-01
7.239950482891730488e-01,-7.535731423111703409e-01
7.697110961104144389e-01,-7.554917159809684257e-01
8.151517581388746381e-01,-7.573360439308698400e-01
8.606157628576996954e-01,-7.591270026839145313e-01
9.058244700327188204e-01,-7.608611225738521888e-01
9.509566947280756466e-01,-7.625528193013126899e-01
9.959238100164559127e-01,-7.642055796855156125e-01
1.040632447443161412e+00,-7.658229004429056852e-01
1.085288661284240952e+00,-7.674188385607139118e-01
1.129773598389040901e+00,-7.689952683841433378e-01
1.174131959553988080e+00,-7.705631823056996454e-01
1.218420506854011265e+00,-7.721334924455369730e-01
1.262582879875167263e+00,-7.737128177058829603e-01
1.306582688004183535e+00,-7.753095370134450715e-01
1.350592416623096037e+00,-7.769415952455828167e-01
1.394384130890790052e+00,-7.786147532458644882e-01
1.438142570266933928e+00,-7.803544631373816598e-01
1.481925898016723808e+00,-7.821882785291996987e-01
1.525618821173683193e+00,-7.841480708895600671e-01
1.569245086398165068e+00,-7.862906345624910420e-01
1.612861928227585118e+00,-7.887167590446987342e-01
1.656397082984880420e+00,-7.916265664160865301e-01
1.699999999999999956e+00,-7.900000000000000355e-01
