x,y
7.399999999999999911e-01,1.300000000000000044e+00
7.427905006543726874e-01,1.239985545839888514e+00
7.440562848749162628e-01,1.179903701386924464e+00
7.453071067069126920e-01,1.119806867300333186e+00
7.465682165586446928e-01,1.059684038283057461e+00
7.478460864402185493e-01,9.994813945392267973e-01
7.491513610363547127e-01,9.392042776905976664e-01
7.505055293200042499e-01,8.789489208929061048e-01
7.519597003546326652e-01,8.185116185664689237e-01
7.535927552539071206e-01,7.580986160732865464e-01
7.555525502140095773e-01,6.974561966879151420e-01
7.580550247490451810e-01,6.368288605535308289e-01
7.614307321108583215e-01,5.762578172753745065e-01
7.661698350759020837e-01,5.154949166793312276e-01
7.729004362377914772e-01,4.549310698796625863e-01
7.824344635274922410e-01,3.946413276620305277e-01
7.957042308458570634e-01,3.348610081891650325e-01
8.136146549621676716e-01,2.761500464314856629e-01
8.367514474249473366e-01,2.192954565054625049e-01
8.653486409081110331e-01,1.647351224285207860e-01
8.989736294682921791e-01,1.131591689388190131e-01
9.370971202504662090e-01,6.448449155688838752e-02
9.788699914688698822e-01,1.875689789903484464e-02
1.023535324572118155e+00,-2.426986162120996562e-02
1.070657342851973892e+00,-6.509261857177334187e-02
1.119583013605127020e+00,-1.038967404974473485e-01
1.169934638936756421e+00,-1.409605421469384279e-01
1.221473036771570486e+00,-1.766367074134850557e-01
1.274062054974909097e+00,-2.112016745947941643e-01
1.327558140201343440e+00,-2.448630202355891461e-01
1.381689321290805905e+00,-2.777053717123742493e-01
1.436570121057178628e+00,-3.099510780333663007e-01
1.492001520123134028e+00,-3.417047864050813399e-01
1.547869468379765356e+00,-3.730332245103349376e-01
1.604078881663556722e+00,-4.039613598401171068e-01
1.660532323197426052e+00,-4.345931927480846668e-01
1.717116909207936581e+00,-4.649091702546569449e-01
1.773698729641240979e+00,-4.949567205230054889e-01
1.830205414442096279e+00,-5.247619182984821773e-01
1.886480504598948116e+00,-5.543461215117315710e-01
1.942587992710461897e+00,-5.838134550794148447e-01
1.998455239991679955e+00,-6.132190336947657139e-01
2.054206871402541879e+00,-6.427836956439056948e-01
2.109510024038112164e+00,-6.724335115722522849e-01
2.164384948506245632e+00,-7.022621406797119326e-01
2.218701855531882927e+00,-7.323640350124305254e-01
2.272474304379274113e+00,-7.627987384436749618e-01
2.325776411840315028e+00,-7.936372808887449670e-01
2.378609169660748535e+00,-8.250503154909397674e-01
2.430855412685740458e+00,-8.569944423900129893e-01
2.482331609111652959e+00,-8.894592214752723436e-01
2.533316639921311619e+00,-9.226937182255546821e-01
2.583477500135893834e+00,-9.565891737806190287e-01
2.632941069047039395e+00,-9.912958990832144712e-01
2.681719542724633421e+00,-1.026937802804383404e+00
2.729546005406424669e+00,-1.063386368501455737e+00
2.776618444958865339e+00,-1.100841515541987281e+00
2.822737078148575218e+00,-1.139164588088365848e+00
2.868010380255664682e+00,-1.178367917046857061e+00
2.912544735867819146e+00,-1.218384282844360511e+00
2.956468800536346642e+00,-1.259024058368849674e+00
3.000000000000000000e+00,-1.300000000000000044e+00
