x,y
7.399999999999999911e-01,1.300000000000000044e+00
7.442546278054976705e-01,1.169120570589777142e+00
7.470237125949096280e-01,1.038324549894180437e+00
7.498961303336125761e-01,9.075350020058849942e-01
7.532410075102736746e-01,7.767798286659619578e-01
7.581745422458269212e-01,6.464371630957780335e-01
7.676115436681139048e-01,5.164905444416204583e-01
7.871902835113897545e-01,3.877494101815729954e-01
8.248182449264594984e-01,2.638128378441508270e-01
8.861650707827444240e-01,1.498480450336554803e-01
9.663012131178582154e-01,4.976841921160091164e-02
1.058689826003840428e+00,-3.748698377393126085e-02
1.158580853421203427e+00,-1.156583535461361834e-01
1.263047636160035569e+00,-1.874537913387446519e-01
1.369615926646822857e+00,-2.545416166894213239e-01
1.476433953584733949e+00,-3.176148394156676491e-01
1.583564707843500230e+00,-3.779918129614199818e-01
1.690181696698269898e+00,-4.361788473417598788e-01
1.796237333350921395e+00,-4.928457506694900458e-01
1.901572985940235272e+00,-5.485711811571569729e-01
2.005750881660874008e+00,-6.036741395706306523e-01
2.108294273150333353e+00,-6.589446909371713401e-01
2.207557984043987620e+00,-7.138626530597755870e-01
2.306052922545679618e+00,-7.704998588311675611e-01
2.401751444679601999e+00,-8.282868612524570961e-01
2.495380135752985229e+00,-8.878521822075378100e-01
2.586822114688457130e+00,-9.499573659451824303e-01
2.674998896326232334e+00,-1.014285342819554625e+00
2.760594144196685029e+00,-1.081743372613622967e+00
2.842957038731897423e+00,-1.152124381899260142e+00
2.922402968776655729e+00,-1.225134820930358526e+00
3.000000000000000000e+00,-1.300000000000000044e+00
