Q20,Q30
7.399999999999999911e-01,1.300000000000000044e+00
7.426222855356258146e-01,1.249550867841582091e+00
7.436613841895628463e-01,1.199059547034702078e+00
7.447106996348623609e-01,1.148384618838213189e+00
7.457668066047457023e-01,1.097698333783894142e+00
7.468370858751975927e-01,1.046653773021391176e+00
7.479163434306057567e-01,9.955089047009746395e-01
7.490111466799501683e-01,9.439603986582147943e-01
7.501271876575268394e-01,8.917568171325052084e-01
7.512570024482350117e-01,8.392613429990003482e-01
7.523928515977506004e-01,7.868424733373230451e-01
7.535522421776275070e-01,7.337044839600471713e-01
7.547318310938185837e-01,6.800164617857168414e-01
7.559371184620634621e-01,6.255524389578741573e-01
7.571602500424498006e-01,5.706860501386548101e-01
7.584186970262741800e-01,5.146690577927709453e-01
7.596864901158246752e-01,4.586983930321166802e-01
7.610018872733951278e-01,4.012537882960939273e-01
7.623427305162586709e-01,3.439706771762474635e-01
7.637939019491484238e-01,2.855542299197043610e-01
7.655646196474252818e-01,2.267718102456298956e-01
7.683943361386901261e-01,1.676422630549274373e-01
7.749110144617884499e-01,1.078372391622826193e-01
7.936461517508542896e-01,4.969165042921954573e-02
8.367140075379017050e-01,5.058981479081291720e-03
8.976522205606796145e-01,-2.167265011842406039e-02
9.617250484092894069e-01,-3.874657921851365483e-02
1.030650401011904194e+00,-5.272109621263566109e-02
1.101145449167652446e+00,-6.493532251637254560e-02
1.176575513312136945e+00,-7.661020247761256285e-02
1.252908240536608986e+00,-8.771219337034417973e-02
1.331222410609730344e+00,-9.828972439124020188e-02
1.411017871079556008e+00,-1.088314228957574237e-01
1.491394095404625419e+00,-1.189766475339791574e-01
1.572659182888522134e+00,-1.288625303126977317e-01
1.654548999473631765e+00,-1.384112719549051018e-01
1.737300650844687544e+00,-1.474952615557234559e-01
1.821101787412276130e+00,-1.560020945004182980e-01
1.905406620795254247e+00,-1.638127369115674192e-01
1.989661811512670520e+00,-1.709959813393205352e-01
2.074797897703245297e+00,-1.780430458315774844e-01
2.159955658715094096e+00,-1.858425398586200095e-01
2.245109136991517484e+00,-1.946715167819642600e-01
2.330378294276702178e+00,-2.045934526835385403e-01
2.415775541814811689e+00,-2.158219927091142576e-01
2.501466061563601961e+00,-2.283908603016439332e-01
2.587038134758714580e+00,-2.425308370711841133e-01
2.672380649881089365e+00,-2.588894112843498352e-01
2.757095462598191382e+00,-2.788914461090903907e-01
2.839739569563162647e+00,-3.066899504446129465e-01
2.912586325926018738e+00,-3.546286593986384128e-01
2.953378679142777408e+00,-4.316704119530216377e-01
2.968169468514108900e+00,-5.175943755198785245e-01
2.974418819518023227e+00,-6.044960147475896273e-01
2.978478997779284487e+00,-6.914928920900863529e-01
2.982003112833791825e+00,-7.785237263792291751e-01
2.985364402444333098e+00,-8.655248927336259834e-01
2.988643456993258507e+00,-9.525036326592984937e-01
2.991854365860868725e+00,-1.039419389155965767e+00
2.995003506977311325e+00,-1.126316544594518465e+00
2.998092216648184039e+00,-1.213151539117477640e+00
3.000000000000000000e+00,-1.300000000000000044e+00
