x,y
6.237458193979930066e-01,2.842809364548493090e-02
5.853795969342436845e-01,3.214056190382131445e-02
5.475464948040887903e-01,3.951407400604817904e-02
5.106531722692709829e-01,5.054058603300941310e-02
4.749966744052491752e-01,6.508217958262714486e-02
4.408365619957105852e-01,8.268763610356107130e-02
4.082264754162875930e-01,1.027348961124300575e-01
3.771121195096658330e-01,1.247899910805640861e-01
3.472631531750501321e-01,1.483712051938511078e-01
3.187589295216025631e-01,1.728108401527080340e-01
2.909464780472234002e-01,1.981856042566522424e-01
2.639060224639639962e-01,2.239491010037931995e-01
2.374929802192436157e-01,2.497606911717036304e-01
2.113151731576652925e-01,2.756202562399365230e-01
1.852906400381691687e-01,3.011779120381826713e-01
1.595289737113366746e-01,3.260614932139291877e-01
1.336796011914605509e-01,3.502829073647049096e-01
1.077616600944874131e-01,3.739336126423752904e-01
8.154605071166440289e-02,3.969894955662408020e-01
5.531685527503827499e-02,4.191626265069389734e-01
2.895205092738816974e-02,4.407730724286777479e-01
2.569255415569153631e-03,4.621785662915072201e-01
-2.385991281882255538e-02,4.837025089735465522e-01
-5.049901614446280357e-02,5.055443264591847896e-01
-7.691395083736332627e-02,5.284869774994672698e-01
-1.030214720946829449e-01,5.526952900898185472e-01
-1.284731058137307536e-01,5.782574529185626755e-01
-1.531254609210401518e-01,6.057889641980798157e-01
-1.774593801154625283e-01,6.351601555120082176e-01
-2.007766165213939191e-01,6.663927332468976283e-01
-2.236619560274974439e-01,6.990818190862513326e-01
-2.456691926838274198e-01,7.334908482666590013e-01
-2.669346334589863257e-01,7.687803781863877806e-01
-2.876949430004278052e-01,8.053270969260668544e-01
-3.084267399548481503e-01,8.423301114526899891e-01
-3.288356752788803572e-01,8.796667350169135036e-01
-3.493543116836827500e-01,9.164886938786582782e-01
-3.688501626441224035e-01,9.531939261687349951e-01
-3.883265836666381365e-01,9.888319320071206064e-01
-4.067335617386242941e-01,1.023668913633857480e+00
-4.246171068533223236e-01,1.057652181287817905e+00
-4.421461838700165847e-01,1.090722101757897633e+00
-4.591158313702649596e-01,1.123456485493883106e+00
-4.754178092647129983e-01,1.155885650736944603e+00
-4.909751269889591208e-01,1.187781123103461622e+00
-5.065723566838674641e-01,1.219190511505206409e+00
-5.215682790484214015e-01,1.250789380136320794e+00
-5.366251452582299075e-01,1.282409236995116331e+00
-5.508014757239326764e-01,1.314547754514533651e+00
-5.639944021818761311e-01,1.347112069574603499e+00
-5.764824630166248687e-01,1.379994816185875495e+00
-5.886287625418060721e-01,1.413043478260869623e+00
