x,y
6.237458193979930066e-01,2.842809364548493090e-02
5.818732343171336696e-01,3.103172062132262751e-02
5.401010263697652025e-01,3.495316332080136007e-02
4.984891959102608072e-01,4.054431773639343567e-02
4.572277665894222687e-01,4.901685015158100539e-02
4.169413423939766772e-01,6.203109518325235217e-02
3.789373802625902732e-01,8.091031647024687912e-02
3.443387559070536508e-01,1.060183199488841377e-01
3.136158419509922912e-01,1.364939517266477442e-01
2.868010562944249831e-01,1.704223566301369674e-01
2.626243721732900993e-01,2.066285120832283551e-01
2.400804958996871075e-01,2.442406361850387175e-01
2.179777075756870741e-01,2.829247523394776143e-01
1.951002319950538577e-01,3.212814698066107644e-01
1.692156458412735209e-01,3.588109958694049584e-01
1.390307277100021610e-01,3.933780407153021907e-01
1.023143557036300388e-01,4.222911908123985758e-01
6.018546799702539224e-02,4.429727762479508391e-01
1.359716289292477523e-02,4.562768797234290075e-01
-3.416909455994531636e-02,4.646023719783377026e-01
-8.396349588898760485e-02,4.704743782633206695e-01
-1.345547795957170445e-01,4.752372649583528896e-01
-1.851188905348446490e-01,4.792227390493479788e-01
-2.383229650451542114e-01,4.828434483215223727e-01
-2.917127575462689082e-01,4.861028689655998991e-01
-3.468193696913731694e-01,4.893112973091838236e-01
-4.032781438168649979e-01,4.927282729897002334e-01
-4.600059921487781311e-01,4.966995743933623197e-01
-5.166112472910888709e-01,5.017513096615546786e-01
-5.741079160012176885e-01,5.087310557600548400e-01
-6.320995908173066002e-01,5.186677016576402011e-01
-6.891545985839810928e-01,5.326040989068837606e-01
-7.456061907832185476e-01,5.519381724004889245e-01
-7.998059430125520342e-01,5.773590027618974441e-01
-8.508102921161638799e-01,6.093558502389750942e-01
-8.975389140881548933e-01,6.478035395397441221e-01
-9.377506251095973910e-01,6.930728332134675762e-01
-9.686363926181477124e-01,7.449213930233096193e-01
-9.887217658321892921e-01,8.017599484427887502e-01
-9.947453656388234311e-01,8.616965518991518413e-01
-9.856680183408214058e-01,9.207434479224222423e-01
-9.643322812494031782e-01,9.766476927125815610e-01
-9.351374550113372708e-01,1.028387116727726314e+00
-9.012728013591830845e-01,1.076532747171370152e+00
-8.643771054935505127e-01,1.122450964414613450e+00
-8.262717093424287729e-01,1.166064649079175730e+00
-7.869498392864432423e-01,1.208724096129548231e+00
-7.474137792481884146e-01,1.250221589228049268e+00
-7.076190061225992034e-01,1.291141660422090887e+00
-6.675404009339160893e-01,1.331835904998551756e+00
-6.276034112269170961e-01,1.372094780670776837e+00
-5.886287625418060721e-01,1.413043478260869623e+00
