#    Z      N      Q20        Q30        BE           E0           M22          M32          M33         
    92    140     -0.000      0.000  -1739.89192      1.46815      0.05929     -0.00000      0.44520
    92    140      0.000      3.000  -1743.91273      1.84000      0.07692     -0.08411      0.81740
    92    140     -0.000      6.000  -1744.68144      0.68217      0.13170     -0.20380      2.05400
    92    140     -0.000      9.000  -1732.93980      0.77917      0.15040     -0.24920      1.57600
    92    140     -0.000     12.000  -1722.76167      0.79158      0.13830     -0.21510      1.34700
    92    140      0.000     15.000  -1711.89718      0.68458      0.16550     -0.31170      1.30100
    92    140     -0.000     18.000  -1700.64084      0.77694      0.23160     -0.57070      1.71600
    92    140     -0.000     21.000  -1689.48832      0.71449      0.13120     -0.30330      1.07100
    92    140      0.000     24.000  -1677.15099      0.75006      0.07908     -0.15880      0.69930
    92    140     -0.000     27.000  -1663.92335      0.87673      0.12400     -0.28040      0.96700
    92    140     -0.000     30.000  -1460.58115      1.73336      0.03343     -0.14260      0.85310
    92    140      0.000     33.000  -1450.05233      0.86869      0.06169     -0.06914      0.58820
    92    140      0.000     36.000  -1441.42476      0.87638      0.03416     -0.03761      0.37810
    92    140     -0.000     42.000  -1431.58899      0.64374      0.05388     -0.02547      0.34900
    92    140     -0.000     45.000  -1424.90276      0.73131      0.06179     -0.09284      0.52850
    92    140      0.000     48.000  -1407.85852      0.66429      0.05779      0.01381      0.31850
    92    140     -0.000     51.000  -1397.28803      0.83231      0.03361     -0.04117      0.27010
    92    140      0.000     60.000  -1571.12126      2.73355      0.08143     -0.06454      0.48490
    92    140      8.000     -0.000  -1743.26555      1.29835      0.06469      0.00000      0.66730
    92    140      8.000      3.000  -1746.02120      1.27737      0.08595     -0.06708      0.61890
    92    140      8.000      6.000  -1745.61148      0.86200      0.17100     -0.14200      1.42600
    92    140      8.000      9.000  -1738.32171      0.85987      0.13850     -0.20660      1.91000
    92    140      8.000     12.000  -1726.45013      1.08583      0.12510     -0.31150      1.08700
    92    140      8.000     15.000  -1716.48776      1.43542      0.11510     -0.19950      0.96840
    92    140      8.000     18.000  -1705.74100      0.78197      0.17680     -0.33420      1.19900
    92    140      8.000     21.000  -1695.83735      0.84359      0.19750     -0.44350      1.47400
    92    140      8.000     24.000  -1685.36609      0.69458      0.13970     -0.31640      1.00900
    92    140      8.000     27.000  -1673.35739      0.76911      0.10320     -0.19400      0.76520
    92    140      8.000     30.000  -1465.69715      1.54522      0.02903     -0.12960      0.88400
    92    140      8.000     33.000  -1455.45400      0.46833      0.09226     -0.08154      0.75700
    92    140      8.000     36.000  -1444.85937      0.52893      0.08655     -0.13440      0.74000
    92    140      8.000     39.000  -1438.45662      0.68381      0.06319     -0.01256      0.37540
    92    140      8.000     42.000  -1430.36089      0.90622      0.04425     -0.08422      0.38330
    92    140      8.000     45.000  -1422.42179      0.60732      0.29040     -0.20460      1.47800
    92    140      8.000     48.000  -1414.26508      0.61939      0.07351      0.00755      0.32160
    92    140      8.000     51.000  -1404.42941      0.67102      0.05948      0.00723      0.25360
    92    140      8.000     54.000  -1393.29178      0.75239      0.05807     -0.06665      0.35820
    92    140     16.000     -0.000  -1751.52313      1.04963      0.10950     -0.00000      0.84520
    92    140     16.000      3.000  -1752.67128      1.06648      0.10260     -0.03917      0.52080
    92    140     16.000      6.000  -1750.90100      0.70217      0.17100     -0.19100      0.98590
    92    140     16.000      9.000  -1743.36667      0.67490      0.19590     -0.45710      2.03000
    92    140     16.000     12.000  -1729.66575      0.79913      0.10820     -0.23740      0.94940
    92    140     16.000     15.000  -1718.08234      0.81439      0.11440     -0.26040      1.00300
    92    140     16.000     18.000  -1709.92032      0.85305      0.09957     -0.15230      0.71100
    92    140     16.000     21.000  -1701.30575      0.82343      0.12610     -0.24270      0.83850
    92    140     16.000     24.000  -1692.24747      0.79239      0.14290     -0.31760      1.06500
    92    140     16.000     30.000  -1669.15674      0.66236      0.12840     -0.27740      0.97630
    92    140     16.000     33.000  -1655.40890      0.68509      0.07378     -0.15500      0.57360
    92    140     16.000     39.000  -1441.21819      0.50214      0.07477     -0.11930      0.55320
    92    140     16.000     42.000  -1433.36677      0.56134      0.05462     -0.07690      0.36790
    92    140     16.000     51.000  -1416.67280      0.54435      0.07506     -0.03464      0.30140
    92    140     16.000     54.000  -1405.87772      0.61412      0.06637     -0.02787      0.25400
    92    140     24.000     -0.000  -1757.41069      0.78160      0.14450     -0.00000      0.65040
    92    140     24.000      3.000  -1756.76129      0.81736      0.29560     -0.13160      1.09000
    92    140     24.000      6.000  -1755.40859      1.06920      0.22510     -0.07358      0.28920
    92    140     24.000      9.000  -1747.64576      0.73191      0.15280     -0.14410      0.63740
    92    140     24.000     12.000  -1736.17944      0.59532      0.20880     -0.35700      1.48000
    92    140     24.000     15.000  -1724.09849      0.66755      0.11660     -0.18870      0.64740
    92    140     24.000     18.000  -1714.66811      0.77135      0.13120     -0.26670      0.81230
    92    140     24.000     21.000  -1706.69682      0.85266      0.11620     -0.25060      0.73800
    92    140     24.000     24.000  -1698.48012      0.82166      0.10260     -0.18650      0.55350
    92    140     24.000     27.000  -1688.36098      0.70038      0.11480     -0.24960      0.78290
    92    140     24.000     30.000  -1676.54883      0.71210      0.14980     -0.33050      1.03900
    92    140     24.000     33.000  -1663.90889      0.71852      0.17180     -0.41680      1.23700
    92    140     24.000     39.000  -1653.34850      0.71209      0.09911     -0.16880      0.62200
    92    140     24.000     42.000  -1645.63317      0.65687      0.09409     -0.17270      0.61780
    92    140     24.000     45.000  -1635.42115      0.72743      0.08797     -0.16530      0.55850
    92    140     24.000     48.000  -1622.46973      0.74834      0.08200     -0.17780      0.58060
    92    140     24.000     51.000  -1607.93961      0.74672      0.16290     -0.41070      1.16200
    92    140     24.000     54.000  -1594.15327      0.69557      0.26630     -0.69500      1.91900
    92    140     24.000     57.000  -1580.60366      0.74631      0.03150     -0.05718      0.19730
    92    140     32.000      0.000  -1754.72585      1.18670      0.13290     -0.00000      0.19550
    92    140     32.000      3.000  -1754.39563      0.85827      0.16500      0.04774      0.40540
    92    140     32.000      6.000  -1753.78488      0.87860      0.19040     -0.05091      0.32300
    92    140     32.000      9.000  -1750.50110      1.08751      0.17990     -0.08622      0.46510
    92    140     32.000     12.000  -1744.28086      0.82351      0.10520     -0.01760      0.28310
