Q20,Q30
7.525252525252525970e-01,1.303030303030302761e+00
7.453784927332354204e-01,1.123391434442814196e+00
7.491116277846271432e-01,9.436773883748091896e-01
7.538037616666479757e-01,7.640281885705979548e-01
7.625767811419870146e-01,5.845357805186504052e-01
7.855987706968100559e-01,4.063702449583870280e-01
8.427278912106822562e-01,2.360869790005319657e-01
9.438745360687331720e-01,8.766440969649499926e-02
1.073446285490518459e+00,-3.666155692024593293e-02
1.217103659892211365e+00,-1.441280915191602841e-01
1.368000254015931061e+00,-2.411953460948582373e-01
1.522710588427919065e+00,-3.317956156571813531e-01
1.679565900769630415e+00,-4.184360085862395828e-01
1.837575080068783118e+00,-5.027745412255538726e-01
1.995939765023323487e+00,-5.862536516688480193e-01
2.153697105662085942e+00,-6.708062643728218699e-01
2.309622822409978404e+00,-7.586792036954310703e-01
2.462450679328909597e+00,-8.516581505770467464e-01
2.610810303788049236e+00,-9.515509288410154420e-01
2.752888116824204534e+00,-1.060153809527042634e+00
2.887165446910218147e+00,-1.178196670695676573e+00
3.015151515151515138e+00,-1.303030303030302983e+00
