Q20,Q30
1.705685618729096742e+00,-7.984949832775920520e-01
1.564698393065438342e+00,-7.902383578727127933e-01
1.423651323423731130e+00,-7.829779072027663878e-01
1.281476223080551424e+00,-7.763428320810257244e-01
1.139400067891251478e+00,-7.700667975564666756e-01
9.960652517060839539e-01,-7.638518075561439025e-01
8.514003753696458565e-01,-7.574763450741274218e-01
7.062312157189105655e-01,-7.507228426003755839e-01
5.590955530836745346e-01,-7.431206665321228311e-01
4.118276039807084454e-01,-7.336620598918826008e-01
2.638166763218852129e-01,-7.152584459721036403e-01
1.360415319866455364e-01,-6.383959043725478955e-01
8.526099005159776256e-02,-4.973962532790372482e-01
5.679578160905197209e-02,-3.496797975907732781e-01
3.597893380763343002e-02,-2.007430268360717585e-01
1.833990754947034327e-02,-5.110691923074438259e-02
2.266083213830508321e-03,9.861196158458604422e-02
-1.334502193944317461e-02,2.483102681847055571e-01
-2.986288722150566566e-02,3.970764826060235730e-01
-5.178778767105610831e-02,5.451733940680296708e-01
-1.345301226468484102e-01,6.695511847176092157e-01
-2.751524299458099621e-01,7.131361204999777659e-01
-4.213702946646443737e-01,7.294763737336911191e-01
-5.676145940182806271e-01,7.401770435215606625e-01
-7.128018925248864601e-01,7.486733260167698356e-01
-8.564167829469884197e-01,7.560282563097362463e-01
-9.991156513109054060e-01,7.627801097809351338e-01
-1.142109737452197793e+00,7.692842196387171816e-01
-1.284315188217951542e+00,7.757513128553477078e-01
-1.424966609941719975e+00,7.824661188263613010e-01
-1.565542759888056024e+00,7.899330636836725539e-01
-1.705685618729096964e+00,7.984949832775920520e-01
