Q20,Q30
1.705685618729096742e+00,-7.984949832775920520e-01
1.554893144461553023e+00,-7.857955857886598228e-01
1.403799645577656463e+00,-7.790571237685620654e-01
1.252684914208239686e+00,-7.733656339849378503e-01
1.102025439823106412e+00,-7.680148877273218488e-01
9.513188581961320445e-01,-7.625411155198289492e-01
8.009607846192694502e-01,-7.566847010891292191e-01
6.509085398696676794e-01,-7.501915143228232719e-01
5.008704200316543842e-01,-7.427328512010143990e-01
3.511579494104685728e-01,-7.338793657591163866e-01
2.018179618652315155e-01,-7.229495624668925702e-01
6.252220047578292694e-02,-6.683286794546587917e-01
4.071457702054446376e-02,-5.205558664501929167e-01
2.580896231920688441e-02,-3.719599731166899348e-01
1.449858735862889769e-02,-2.232360309118751329e-01
4.657133563882953284e-03,-7.439247553869215990e-02
-4.657133497301617353e-03,7.439247598594990463e-02
-1.449858688502930239e-02,2.232360316176418835e-01
-2.580896230118333995e-02,3.719599738984690762e-01
-4.071457877232907696e-02,5.205558667358830549e-01
-6.252219956439002135e-02,6.683286801482769546e-01
-2.018179615028792284e-01,7.229495613624388195e-01
-3.511579487740137950e-01,7.338793670183206830e-01
-5.008704195090463163e-01,7.427328503912801194e-01
-6.509085394065639019e-01,7.501915146667682555e-01
-8.009607843118549120e-01,7.566847005411436733e-01
-9.513188579684661583e-01,7.625411154974462979e-01
-1.102025439722212674e+00,7.680148869179498350e-01
-1.252684914215889567e+00,7.733656335650583857e-01
-1.403799645593076573e+00,7.790571235408598749e-01
-1.554893144321245702e+00,7.857955867997509225e-01
-1.705685618729096964e+00,7.984949832775920520e-01
