Q20,Q30
1.531772575250835988e+00,-7.901337792642140201e-01
1.413982999769560767e+00,-7.784134502650045251e-01
1.296238508833172265e+00,-7.664593947178336419e-01
1.178483553385623939e+00,-7.543227460183367095e-01
1.060478203438316447e+00,-7.431574900566416675e-01
9.422199653800881203e-01,-7.328725909608708733e-01
8.244160489549754445e-01,-7.185138022993625695e-01
7.086682139524043134e-01,-6.915288387046095719e-01
5.974711225992995756e-01,-6.485026565848382996e-01
4.920090166187882641e-01,-5.926337956913130256e-01
3.937968517643585797e-01,-5.248292286923844641e-01
3.066400714763851676e-01,-4.430204383831585213e-01
2.288383962880504163e-01,-3.521133032734418689e-01
1.586733000808329963e-01,-2.549850163020249694e-01
9.483545588524650016e-02,-1.536102339668926342e-01
3.222663911150062954e-02,-5.130960244693936328e-02
-3.087859604720201087e-02,5.068144307772172452e-02
-9.327589493929394626e-02,1.531094165924508643e-01
-1.568105605858182983e-01,2.547383316296413236e-01
-2.264817527270215625e-01,3.521662729988704887e-01
-3.045275557851731540e-01,4.427418036244045729e-01
-3.940507008196482697e-01,5.218743973326364083e-01
-4.942249044888339382e-01,5.863741714615944289e-01
-6.003696301460563767e-01,6.402530200888855161e-01
-7.110894777701848302e-01,6.831926346981309628e-01
-8.265780504352344682e-01,7.108327356196506575e-01
-9.440585297795998088e-01,7.263413401739612363e-01
-1.061975395520617038e+00,7.380772630126665179e-01
-1.179606673102738812e+00,7.505372117076805072e-01
-1.297021513327199616e+00,7.641406446740651726e-01
-1.414370129360010608e+00,7.773405591792351688e-01
-1.531772575250836210e+00,7.901337792642140201e-01
