Q20,Q30
1.531772575250835988e+00,-7.901337792642140201e-01
1.386349732424863701e+00,-7.611781268341937245e-01
1.247634219537859801e+00,-7.088210555376823763e-01
1.112423065014260581e+00,-6.478947477149549217e-01
9.709703870267814008e-01,-6.935650052296173929e-01
8.307633573152043427e-01,-7.431501807884350885e-01
6.827469979077150919e-01,-7.577121100436791101e-01
5.424342851304729818e-01,-7.071368001862048391e-01
3.955868048354578836e-01,-6.813850110981882757e-01
2.518624472398697245e-01,-7.220179535317767794e-01
1.026282355075779223e-01,-7.344997393730893220e-01
7.836278601222813195e-03,-6.179317514778885911e-01
-3.028024437185605419e-02,-4.722619675551783525e-01
4.543104337062655457e-02,-3.419164444902232369e-01
1.009732008288745514e-01,-2.016428819966319119e-01
4.191865327762790694e-02,-6.276184567096824984e-02
-4.191864261721774815e-02,6.276182452021158986e-02
-1.009731979030840665e-01,2.016428575647640775e-01
-4.543105389534756594e-02,3.419164255144027109e-01
3.028023574954332928e-02,4.722619477495290097e-01
-7.836267786424563550e-03,6.179317371429716710e-01
-1.026282218983016470e-01,7.344997279004451540e-01
-2.518624355579621166e-01,7.220179573308286303e-01
-3.955867938315311694e-01,6.813850126193612411e-01
-5.424342763777281196e-01,7.071367959859382601e-01
-6.827469892326220036e-01,7.577121089821707844e-01
-8.307633513323000596e-01,7.431501841433946209e-01
-9.709703819607696795e-01,6.935650065537685149e-01
-1.112423060214757342e+00,6.478947466259286081e-01
-1.247634215800391022e+00,7.088210537618208074e-01
-1.386349730641428080e+00,7.611781266692103642e-01
-1.531772575250836210e+00,7.901337792642140201e-01
