Q20,Q30
-1.600000000000000089e+00,-5.699999999999999512e-01
-1.549879917682960295e+00,-5.307753933302259419e-01
-1.499746013511243037e+00,-4.915690233572359569e-01
-1.449614195891668400e+00,-4.523604414839872412e-01
-1.399522665676860012e+00,-4.131005976800533053e-01
-1.349502921474487804e+00,-3.737489249638085709e-01
-1.299604624530901420e+00,-3.342422171209987747e-01
-1.249863111140960825e+00,-2.945369593320969481e-01
-1.200336055426701298e+00,-2.545616391948929969e-01
-1.151049184372101797e+00,-2.142868612605172696e-01
-1.102043760390585270e+00,-1.736637374397460576e-01
-1.053354612309147509e+00,-1.326535127327807817e-01
-1.004991829405739834e+00,-9.123636090662205766e-02
-9.569799720884109018e-01,-4.940296499173219003e-02
-9.093480538396991886e-01,-7.088624948471554735e-03
-8.621057514659534737e-01,3.571947090338170594e-02
-8.152179027129642375e-01,7.899498824042892886e-02
-7.686956331716272572e-01,1.226999569271827323e-01
-7.225503880975422399e-01,1.669140386795386621e-01
-6.767090801995360172e-01,2.115393719944889672e-01
-6.311953527751884563e-01,2.566183299778249660e-01
-5.859147155004706953e-01,3.019832255726648262e-01
-5.408352896641781538e-01,3.475900141533944665e-01
-4.958483870038006835e-01,3.933443026650448315e-01
-4.508582884864575924e-01,4.391543235188288818e-01
-4.057025319610992331e-01,4.848682058570459308e-01
-3.601131123500133091e-01,5.301821987868627906e-01
-3.137782715536301392e-01,5.748013621407577212e-01
-2.661410356410691125e-01,6.180177936861229737e-01
-2.162532987609957769e-01,6.586437992454639012e-01
-1.622026609889368753e-01,6.935487598015491750e-01
-1.000000000000000056e-01,7.099999999999999645e-01
