Q20,Q30
-1.600000000000000089e+00,-5.699999999999999512e-01
-1.499946266592532274e+00,-5.884928170069436693e-01
-1.397994186326812605e+00,-5.978877783076642638e-01
-1.296033427372447866e+00,-6.050867682957501437e-01
-1.193219306951368575e+00,-6.112092303989251629e-01
-1.090401272350367545e+00,-6.170435667519055256e-01
-9.856176618295590108e-01,-6.229185485701767000e-01
-8.808748251193981860e-01,-6.288857945755385037e-01
-7.741852974984718694e-01,-6.352090063972232192e-01
-6.675238716607078127e-01,-6.419156901562106388e-01
-5.593600283181791033e-01,-6.492643828588742227e-01
-4.511745197958225151e-01,-6.573208146584719191e-01
-3.423937828619529333e-01,-6.663251446335890504e-01
-2.336095487193350084e-01,-6.764067516367776589e-01
-1.248617120593649849e-01,-6.876854112566830324e-01
-1.694785806460037333e-02,-7.030260338595473169e-01
5.583113586325135630e-02,-6.230600120647504792e-01
3.976175347577366737e-02,-5.175216866336536103e-01
2.898994416579296629e-02,-4.118491804990369598e-01
2.056585052828662982e-02,-3.087911964258339137e-01
1.345601059548437103e-02,-2.092251241903965719e-01
6.917681220600461686e-03,-1.100103991761697264e-01
8.846014766773203876e-04,-1.431699270609271789e-02
-5.070957519406265462e-03,8.084851799829106955e-02
-1.080060436555271841e-02,1.696432080120432728e-01
-1.671667222879464135e-02,2.563146405852911314e-01
-2.288576349933653040e-02,3.396159492891647202e-01
-2.943464498345492106e-02,4.183993556532487057e-01
-3.720831494121368266e-02,4.977488772923880367e-01
-4.655649201893923700e-02,5.729821286825897975e-01
-6.033288243508042048e-02,6.473096424172397612e-01
-1.000000000000000056e-01,7.099999999999999645e-01
