x,y
-1.699999999999999956e+00,7.900000000000000355e-01
-1.612029090144689425e+00,7.869296093123279157e-01
-1.524055310571561739e+00,7.835919396369523948e-01
-1.435962805736149539e+00,7.801688358054816863e-01
-1.347851925777484139e+00,7.767340071352928366e-01
-1.259470842569341276e+00,7.732915674279786655e-01
-1.171106438666230209e+00,7.698427513634900077e-01
-1.082412310798858357e+00,7.663542704781554082e-01
-9.935243657267882611e-01,7.628065545440678719e-01
-9.042255095695456157e-01,7.591624438131926444e-01
-8.148160026742744533e-01,7.554024361712993185e-01
-7.253150275084984111e-01,7.514922799247366614e-01
-6.355475147098655908e-01,7.473819837995969717e-01
-5.455922745128398699e-01,7.430243448353570646e-01
-4.554217338409398685e-01,7.383503415160197481e-01
-3.652306178237931245e-01,7.332804101016833220e-01
-2.748707415595541548e-01,7.276708858427102244e-01
-1.845542808028734494e-01,7.213060912021680426e-01
-9.422264985052589137e-02,7.136510636594795010e-01
-6.889015825714549235e-02,6.141259732412409633e-01
-5.326297088653754452e-02,5.125977998471071828e-01
-4.094688613832258434e-02,4.106164599604783527e-01
-3.029781766774428467e-02,3.084201011119773184e-01
-2.060999411714319399e-02,2.060810384948770502e-01
-1.148951389771700991e-02,1.036268619942806724e-01
-2.684320506169887710e-03,1.156100845505598660e-03
6.013055107047396777e-03,-1.013406019612839160e-01
1.479940471085346328e-02,-2.039092265305278984e-01
2.388861830108470613e-02,-3.064892064749176193e-01
3.357030744410358786e-02,-4.090788228499638857e-01
4.431084937400339013e-02,-5.115653211952779778e-01
5.711078390484202599e-02,-6.138440577351753635e-01
9.285461466026879995e-02,-7.105328658236536032e-01
1.771355486348808184e-01,-7.195854779085797404e-01
2.616266588823427663e-01,-7.259804951423601826e-01
3.461750374739981373e-01,-7.314904465495298824e-01
4.307560968887588215e-01,-7.364568097081528597e-01
5.153500730397176932e-01,-7.410291474363023267e-01
5.999593924990518357e-01,-7.452977506693524434e-01
6.845708616526120505e-01,-7.493248630978807112e-01
7.691921897465084923e-01,-7.531583161865846865e-01
8.538168431608881281e-01,-7.568362691867249747e-01
9.384375256498598272e-01,-7.603908599779413136e-01
1.023061521482336866e+00,-7.638508623357285199e-01
1.107685613835807104e+00,-7.672419466545083999e-01
1.192304192377358074e+00,-7.705875534203610044e-01
1.276920481710558830e+00,-7.739091544753562424e-01
1.361535620968596483e+00,-7.772244037099204084e-01
1.446148111265322056e+00,-7.805408427022398898e-01
1.530761730764926387e+00,-7.838416830103257515e-01
1.615376012054444921e+00,-7.870535472113280306e-01
1.699999999999999956e+00,-7.900000000000000355e-01
