Q20,Q30
-1.699999999999999956e+00,7.900000000000000355e-01
-1.608793921062192434e+00,7.886328371210775678e-01
-1.517702258813758975e+00,7.838695550947353263e-01
-1.426573619428923356e+00,7.799298489850711169e-01
-1.335430374774649431e+00,7.763913347522896080e-01
-1.244278998013115700e+00,7.730590628218637628e-01
-1.153129380469881227e+00,7.698188172099712512e-01
-1.061979569648111132e+00,7.665858098426955314e-01
-9.708367276494820342e-01,7.632775853442146374e-01
-8.797005090359646395e-01,7.598420602012073699e-01
-7.885767785754753678e-01,7.562250319030754397e-01
-6.974663184516369796e-01,7.523669698054188393e-01
-6.063716406632502220e-01,7.481991264430718491e-01
-5.153016334354633132e-01,7.436385140605337174e-01
-4.242573676063000065e-01,7.385798722656964355e-01
-3.332569009514411151e-01,7.328854038287364592e-01
-2.423120659109306851e-01,7.263627867689627093e-01
-1.514610011297602143e-01,7.187234379659911410e-01
-6.922383417820975049e-02,6.793648941848614564e-01
-4.950568785240631181e-02,5.903550155137146094e-01
-3.757984587716596547e-02,4.999717513667700786e-01
-2.868483660935290322e-02,4.092448382747748692e-01
-2.127258200751062922e-02,3.183859070995320728e-01
-1.470194468697032589e-02,2.274622788167989795e-01
-8.630941759447573886e-03,1.365077227185480246e-01
-2.840770124406824960e-03,4.553481226790323522e-02
2.835055910439171489e-03,-4.544443332780632311e-02
8.624989557731558426e-03,-1.364163674987477759e-01
1.469572889665488220e-02,-2.273724775136591880e-01
2.126556966155913886e-02,-3.182940874479744386e-01
2.867675191164578002e-02,-4.091532015431486036e-01
3.756957931922819821e-02,-4.998788576595529221e-01
4.949097762882163909e-02,-5.902639477899471743e-01
6.921043753422326250e-02,-6.792730273390138462e-01
1.514093088413562271e-01,-7.187186846350857028e-01
2.422617375496114445e-01,-7.263589008809380188e-01
3.332070612589475012e-01,-7.328820665141763113e-01
4.242083177239839298e-01,-7.385769817902779755e-01
5.152539506760239751e-01,-7.436359954413030993e-01
6.063297815926684819e-01,-7.481971241158476005e-01
6.974247095603635094e-01,-7.523651435502879403e-01
7.885418502719617750e-01,-7.562236021672944508e-01
8.796679420860873400e-01,-7.598408053294080089e-01
9.708045389700884487e-01,-7.632763958731078047e-01
1.061951864293073866e+00,-7.665848169913462851e-01
1.153102819803452972e+00,-7.698178777177223653e-01
1.244258128979139899e+00,-7.730583146754749224e-01
1.335411674351486333e+00,-7.763906333017601691e-01
1.426561382343838558e+00,-7.799293546425185575e-01
1.517695363992410673e+00,-7.838692414023911148e-01
1.608790552488056802e+00,-7.886326489911339443e-01
1.699999999999999956e+00,-7.900000000000000355e-01
