Q20,Q30
6.237458193979930066e-01,2.842809364548493090e-02
5.609384314866241450e-01,3.668704769755765788e-02
5.000703085112707669e-01,5.425521488497588724e-02
4.426861684671025698e-01,8.036270011083525289e-02
3.888902773684410064e-01,1.133032139940887140e-01
3.385733212707456863e-01,1.507821652615963237e-01
2.906874901845955539e-01,1.912913783265913215e-01
2.444247549597371727e-01,2.332468394162702519e-01
1.986767062159656427e-01,2.758437809719317957e-01
1.526369676715368107e-01,3.178766824604050134e-01
1.054063246949390881e-01,3.586446616575699187e-01
5.633609445518766856e-02,3.972801998187676653e-01
5.702841951175618464e-03,4.337835477727166600e-01
-4.633994883390540193e-02,4.687357142327431836e-01
-9.838164098937042523e-02,5.037184803322177773e-01
-1.492745304112294003e-01,5.407060719611951338e-01
-1.978379752232436728e-01,5.812451187961793497e-01
-2.428904093860836666e-01,6.257101237395842341e-01
-2.844763998803992444e-01,6.737989821588338257e-01
-3.228851560419095379e-01,7.247272993757141180e-01
-3.586582018414156692e-01,7.779611511199722163e-01
-3.921191488881469178e-01,8.326072674321176592e-01
-4.236244297096185552e-01,8.885010989826336303e-01
-4.534118124023662766e-01,9.451783707314841410e-01
-4.810855171411023146e-01,1.002762202784178935e+00
-5.071525174431964489e-01,1.060797500427089535e+00
-5.297976114986541196e-01,1.119766980535392920e+00
-5.496354417927227232e-01,1.179652708239696368e+00
-5.640221090704654605e-01,1.240744790952682974e+00
-5.723362560649027930e-01,1.302883744249563991e+00
-5.742157342598094294e-01,1.365499755506230706e+00
-5.719063545150502303e-01,1.428093645484949770e+00
