Q20,Q30
6.237458193979930066e-01,2.842809364548493090e-02
5.548538408165452074e-01,3.381726182064972996e-02
4.866712488278968074e-01,4.398787051428079686e-02
4.205100478153642185e-01,6.320706115203822417e-02
3.602581573481265509e-01,9.625703580617371580e-02
3.098259765900644447e-01,1.428762927118576442e-01
2.681333995806962633e-01,1.983286420582714427e-01
2.316654589404162634e-01,2.582133794742464405e-01
1.963715632127871757e-01,3.193964247700264436e-01
1.539648748063846828e-01,3.761819983615760088e-01
9.796683133918404618e-02,4.228873960880140670e-01
3.053705565356045620e-02,4.512779116258105461e-01
-4.298502207653649709e-02,4.657984201981733019e-01
-1.206848194797442986e-01,4.739895916731260983e-01
-2.041356448561571779e-01,4.805654599760001977e-01
-2.891058723002184472e-01,4.860713248615191051e-01
-3.811450620846361104e-01,4.917895671566609450e-01
-4.719074405820429252e-01,4.987038703847569976e-01
-5.702249217709527418e-01,5.101196839753742163e-01
-6.675447650567919444e-01,5.296788760389207207e-01
-7.652253217326121515e-01,5.635182447536175587e-01
-8.560778616610658087e-01,6.154763834950163215e-01
-9.338391506902523620e-01,6.850396256814004214e-01
-9.789120534599363710e-01,7.801192892510812049e-01
-9.861838763135842845e-01,8.836756893365308452e-01
-9.552994528010353426e-01,9.826748505642681764e-01
-9.031490442367828830e-01,1.069391738761608535e+00
-8.405511362396435038e-01,1.148305930072923919e+00
-7.747746384751840187e-01,1.221028069304821884e+00
-7.072268272973595282e-01,1.291384042780123309e+00
-6.392922639916432948e-01,1.360306992377409596e+00
-5.719063545150502303e-01,1.428093645484949770e+00
